Lat,Lon,Titel,Partner,Partner ohne Markdown,Website,Straße,PLZ,Ort,Land,Partner aus…,Beteiligt in…,Funktion als…,Webadresse
52.4329955,13.2948039,,[Bundesanstalt für Materialforschung und -prüfung (BAM)](https://www.bam.de/),Bundesanstalt für Materialforschung und -prüfung (BAM),https://www.bam.de/,Unter den Eichen 87,12205,Berlin,Berlin,Wissenschaft,"PtX-Wind, TransferWind",Partner,www.bam.de
53.6922567,10.1080254,,[cruh21 GmbH](https://www.cruh21.com),cruh21 GmbH,https://www.cruh21.com,Erste Brunnenstr. 1,20459,Hamburg,Hamburg,Wirtschaft,TransferWind,Partner,www.cruh21.com
50.1106444,8.6820917,,[DECHEMA Forschungsinstitut und DECHEMA Gesellschaft für Chemische Technik und Biotechnologie e.V.](https://www.dechema-dfi.de/),DECHEMA Forschungsinstitut und DECHEMA Gesellschaft für Chemische Technik und Biotechnologie e.V.,https://www.dechema-dfi.de/,Theodor-Heuss-Allee 25,60486,Frankfurt am Main,Hessen,Wissenschaft,"PtX-Wind, TransferWind",Koordinator und Partner,www.dechema-dfi.de
48.8611498,9.1873875,,[Deutsches Zentrum für Luft- und Raumfahrt e.V.](https://www.dlr.de/),Deutsches Zentrum für Luft- und Raumfahrt e.V.,https://www.dlr.de/,Pfaffenwaldring 38-40,70569,Stuttgart,Baden-Württemberg,Wissenschaft,PtX-Wind,Partner,www.dlr.de
48.9918661,8.5553158,,[DVGW-Forschungsstelle und Karlsruher Institut für Technologie (KIT)](https://www.dvgw.de/),DVGW-Forschungsstelle und Karlsruher Institut für Technologie (KIT),https://www.dvgw.de/,Engler-Bunte-Ring 1,76131,Karlsruhe,Baden-Württemberg,Wissenschaft,"TransferWind, PtX-Wind",Partner,www.dvgw.de
49.088332,8.4003114,,[EnBW Energie Baden-Württemberg AG](https://www.enbw.com/),EnBW Energie Baden-Württemberg AG,https://www.enbw.com/,Durlacher Allee 93,76131,Karlsruhe,Baden-Württemberg,Wirtschaft,PtX-Wind,Partner,www.enbw.com
49.8572968,8.756575,,[EnviroChemie GmbH](https://www.envirochemie.de/),EnviroChemie GmbH,https://www.envirochemie.de/,In den Leppsteinswiesen 9,64380,Roßdorf,Hessen,Wirtschaft,PtX-Wind,Partner,www.envirochemie.de
54.1730981,12.0694669,,[EUCC - Die Küsten Union Deutschland e.V.](https://www.eucc-d.de/),EUCC - Die Küsten Union Deutschland e.V.,https://www.eucc-d.de/,Friedrich-Barnewitz-Str. 3,18119,Rostock,Mecklenburg-Vorpommern,Wirtschaft,TransferWind,Partner,www.eucc-d.de
49.0234631,8.5951975,,[Fraunhofer-Institut für Chemische Technologie (ICT)](https://www.fraunhofer.de/),Fraunhofer-Institut für Chemische Technologie (ICT),https://www.ict.fraunhofer.de/,Joseph-von-Fraunhofer-Str. 7,76327,Pfinztal,Baden-Württemberg,Wissenschaft,OffgridWind,Partner,www.ict.fraunhofer.de
51.4825041,11.9705452,,[Fraunhofer-Institut für Mikrostruktur von Werkstoffen und Systemen (IMWS) ](https://www.imws.fraunhofer.de/),Fraunhofer-Institut für Mikrostruktur von Werkstoffen und Systemen (IMWS),https://www.imws.fraunhofer.de/,Walter-Hülse-Str. 1,06120,Halle (Saale),Sachsen-Anhalt,Wissenschaft,"H₂Wind, TransferWind",Partner,www.imws.fraunhofer.de
