Name des Unternehmens,Ort,Länderkürzel,NACE code,"Kons.
Code","Anzahl der Mitarbeiter
Letztes verf. Jahr",Globale KM - Name,Adresse,Postleitzahl,Region,Land,Latitude,Longitude,Country,Full Address
SHELL TRADING ROTTERDAM B.V.,ROTTERDAM,NL,4671,U1,n.v.,SHELL PLC,WEENA 505,3013 AL,Rotterdam,Niederlande,51.9237047,4.471875,Netherlands,"WEENA 505, 3013 AL, Rotterdam, Niederlande"
L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,PARIS,FR,7830,C2,67778,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",75 QUAI D ORSAY,75007,Paris,Frankreich,48.8622331,2.3047133,France,"75 QUAI D ORSAY, 75007, Paris, Frankreich"
ESSO NEDERLAND B.V.,BOTLEK ROTTERDAM,NL,1920,U1,826,EXXON MOBIL CORP,BOTLEKWEG 121 HAVENNUMMER,3197 KA,Rotterdam,Niederlande,51.870317,4.300543,Netherlands,"BOTLEKWEG 121 HAVENNUMMER, 3197 KA, Rotterdam, Niederlande"
SEEHG SECURING ENERGY FOR EUROPE HOLDING GMBH,BERLIN,DE,6420,C1,1362,BUNDESREPUBLIK DEUTSCHLAND,MARKGRAFENSTR. 23,10117,Berlin,Deutschland,52.5083233,13.3943543,Germany,"MARKGRAFENSTR. 23, 10117, Berlin, Deutschland"
NORSK HYDRO ASA,OSLO,NO,2442,C2,404,NORSK HYDRO ASA,DRAMMENSVEIEN 264,0283,Oslo,Norwegen,59.913821,10.650463,Norway,"DRAMMENSVEIEN 264, 0283, Oslo, Norwegen"
SHELL FRANCE,PUTEAUX,FR,4671,U1,n.v.,SHELL PLC,"11 13 TOUR PACIFIC, 11 COURS VALMY",92800,Hauts-de-Seine,Frankreich,48.892065,2.232525,France,"11 13 TOUR PACIFIC, 11 COURS VALMY, 92800, Hauts-de-Seine, Frankreich"
CHIMET - S.P.A.-,CIVITELLA IN VAL DI CHIANA,IT,2440,U1,149,MR ANDREA SQUARCIALUPI,VIA DEI LAGHI 31/33,52041,Arezzo,Italien,43.408606,11.777862,Italy,"VIA DEI LAGHI 31/33, 52041, Arezzo, Italien"
DOW DEUTSCHLAND ANLAGENGESELLSCHAFT MBH,STADE,DE,2013,U1,10,DOW INC.,BÜTZFLETHER SAND,21683,Stade,Deutschland,53.6465124,9.4482207,Germany,"BÜTZFLETHER SAND, 21683, Stade, Deutschland"
ARKEMA FRANCE,COLOMBES,FR,2014,U1,5601,ARKEMA,420 RUE D ESTIENNE D ORVES,92700,Hauts-de-Seine,Frankreich,48.9086455,2.2295618,France,"420 RUE D ESTIENNE D ORVES, 92700, Hauts-de-Seine, Frankreich"
AIR LIQUIDE INDUSTRIEGASE GMBH & CO. KG,DÜSSELDORF,DE,2110,C1,4389,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",HANS-BÖCKLER-STR.,40476,Düsseldorf,Deutschland,51.247092,6.775832,Germany,"HANS-BÖCKLER-STR., 40476, Düsseldorf, Deutschland"
NOBIAN HOLDING B.V.,AMERSFOORT,NL,6420,C1,1505,"CARLYLE CYAN PARTNERS, S.C.SP",VAN ASCH VAN WIJCKSTRAAT 53,3811 LP,Amersfoort,Niederlande,52.1547893,5.3811031,Netherlands,"VAN ASCH VAN WIJCKSTRAAT 53, 3811 LP, Amersfoort, Niederlande"
TECHNIP ENERGIES FRANCE,NANTERRE,FR,7112,U1,2524,TECHNIP ENERGIES N.V,"IMMEUBLE ORIGINE, 2126 BOULEVARD DE LA DEFENSE",92000,Hauts-de-Seine,Frankreich,48.905268,2.21587,France,"IMMEUBLE ORIGINE, 2126 BOULEVARD DE LA DEFENSE, 92000, Hauts-de-Seine, Frankreich"
YARA SLUISKIL B.V.,SLUISKIL,NL,2015,U1,705,YARA INTERNATIONAL ASA,INDUSTRIEWEG 10,4541 HJ,Terneuzen,Niederlande,51.2718292,3.8489673,Netherlands,"INDUSTRIEWEG 10, 4541 HJ, Terneuzen, Niederlande"
GRUPA AZOTY ZAKŁADY AZOTOWE PUŁAWY S.A.,PUŁAWY,PL,2015,C2,4744,GRUPA AZOTY S.A.,ALEJA TYSIĄCLECIA PAŃSTWA POLSKIEGO 13,24-110,Puławski,Polen,51.450864,21.984228,Poland,"ALEJA TYSIĄCLECIA PAŃSTWA POLSKIEGO 13, 24-110, Puławski, Polen"
AIR LIQUIDE FRANCE INDUSTRIE,PARIS,FR,2011,U1,2386,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",6 RUE COGNACQ JAY,75007,Paris,Frankreich,48.8618312,2.3045629,France,"6 RUE COGNACQ JAY, 75007, Paris, Frankreich"
