"name","lat","lon"
"ADEKA EUROPE GMBH",51.2228252,6.7829655
"ADF Industrial Solutions",43.430237,5.266606
"ADIBELLI MY WAY - OUR WAY UG (HAFTUNGSBESCHRÄNKT)",52.4269855,13.4898344
"ADLARES GmbH",52.3826846,13.2765576
"ADVANCED ENERGY TECHNOLOGIES ΜΟΝΟΠΡΟΣΩΠΗ Α.Ε.",38.55575125,21.79068818394
"ADVANCED SOLAR APPLICATIONS TECHNOLOGY B.V.",52.283575,6.7724884
"Advanced Training Technologies GmbH",51.5646195,7.3106175
"Advent Technologies",37.9784151,23.7350094
"ADVENT TECHNOLOGIES A/S",57.025261,9.897156
"AD-VENTA",45.020657,5.026965
"AEG Power Solutions Ibérica S.A.",42.909809,-2.670241
"AeH2",40.6039019,-3.71845229366829
"AER Bourgogne-Franche-Comté (Agence Economique)",47.238286,6.014106
"Aéroports de Lyon",45.767482,4.851515
"AESA",41.3988585,2.1735243
"AFC ENERGY PLC",51.1215918,-0.530461697333594
"AFEA ENERGY GMBH",51.4109757,7.4756783
"AFRY Management Consulting",40.4190215,-3.7036459
"AGAPE HYDROGEN AS",59.207871,10.940443
"AGC Chemicals Europe",52.3400919,4.8725747
"Agencia de Investigación e Innovación de Castilla-La Mancha",38.674731,-4.159637
"Agentur für Erneuerbare Energien e.V.",52.4766288,13.3563938
"AGFA",51.177553,4.441696
"AGFRA INGENIERIA",39.563158,-0.517326
"AGGM Austrian Gas Grid Management AG",48.252258,16.392674
"AGH University of Krakow",50.064485,19.923628
"AGH University of Science and Technology",50.06569725,19.9215034
"AGRIVERSA PRO BOVES VERWALTUNG GMBH",52.39930785,13.0499800181397
"AHAD TO AS",59.903693,10.624621
"AIMEN Centro Tecnológico",38.393165,-6.400737
"AIP",48.8777159,2.3040221
"Air Flow",43.470614,5.598779
"AIR LINK",43.470614,5.598779
"AIR LIQUIDE BIOGAS INTERNATIONAL",45.210239,5.647029
"AIR LIQUIDE DANMARK A/S",55.647259,12.284458
"AIR LIQUIDE HYDROGENE",48.8618312,2.3045629
"AIR LIQUIDE INDUSTRIE B.V.",51.9232371,4.473656
"AIR LIQUIDE INDUSTRIEGASE GMBH & CO. KG",51.247092,6.775832
"AIR LIQUIDE INDUSTRIES BELGIUM",50.8775347,4.4331478
"AIR LIQUIDE ITALIA PRODUZIONE SRL",45.4817638,9.3275023
"AIR LIQUIDE ITALIA S.P.A.",45.4518664,9.1175917
"AIR LIQUIDE Spain",40.4475159,-3.6926919
"AIR LIQUIDE UK LIMITED",52.52843185,-1.84257695
"AIR PRODUCTS AS",58.1603231,8.0430619
"AIR PRODUCTS Belgium",50.892194,4.459109
"AIR PRODUCTS France",48.9022393,2.3695304
"AIR PRODUCTS GMBH",51.4170596,7.20161599528725
"AIR PRODUCTS GROUP LIMITED",51.3676135,-0.395707306688597
"AIR PRODUCTS HOLDINGS GMBH",51.4084396,7.1919814
"AIR PRODUCTS IBERICA S.L.",41.3540228,2.0813001
"AIR PRODUCTS IRELAND LIMITED",53.3204396,-6.2583108
"Air Products NV",50.937559,4.426466
"AIR PRODUCTS SLOVAKIA, S.R.O.",48.1403069,17.1196887
"AIR PRODUCTS SP. Z O.O.",52.1837838,20.9667251
"AIR PRODUCTS SPOL. S R.O.",50.7687206,14.2034358
"AIRBONE TRAVELS AB",59.341102,18.061672
"Airbus Dewoitine",43.625848,1.382666
"AIRBUS PROTECT",43.6409955,1.3703129
"Airbus SAS",43.626783,1.385495
"AIRE NOUVELLE",48.891914,2.25262
"AIREDALE CHEMICAL COMPANY LIMITED",53.87067055,-1.8874569
"AIT Austrian Institute of Technology GmbH",48.269137,16.4266762
"Akademia WSB",50.326453,19.191737
"AKER CARBON CAPTURE ASA",59.903693,10.624621
"AKER CARBON CAPTURE SWEDEN AB",59.3402363,18.0688362
"Akershus Energi AS",59.954734,11.04212
"Aklea",45.761732,4.8458117
"ÅKRESÉK TEKNIK AB",57.7207288,11.9235319
"AKROS ENERGY GMBH",53.9041266,12.2840542245859
"AL AIR LIQUIDE ESPAÑA, SA",40.467227,-3.688012
"Alantum Europe GmbH",48.2592477,11.4354419
"ALBA EMISSION FREE ENERGY, S.A.",43.2093586,-3.1430773
"Albacete",38.9856959,-1.8700256
"Albert-Ludwigs-Universität Freiburg",47.9651461,7.9573306
"Alca Torda Applications",47.6675882,-2.7841722
"Alcazar",51.5142534,-0.1117964
"ALCOHOLES MONTPLET SAU",41.4282326,2.1984875
"ALCON OPHTHALMIKA GMBH",48.223865,16.392535
"ALCOPLAST SRL",45.299631,8.411297
"ALDER HOLDINGS SAS",48.887919,2.244068
"ALENER Solar",37.295675,-6.046661
"Alfa Laval",45.71429425,4.92856716404373
"Alfa Laval Iberia SA",40.530649,-3.65027910738059
"Alfa Laval Technologies AB",55.7249307,13.1572407484028
"Aliaxis Group SA",50.8175155,4.3959196
"ALIGN TECHNOLOGY AFAB POLAND SP. Z O.O.",51.1527818,17.1327853
"ALLEGO HOLDING B.V.",51.9700011,5.9399146
"ALLEIMA ROCK DRILL STEEL AB",60.383344,17.258273
"ALLEIMA STRIPTECH AB",59.33521795,18.0805265098045
"ALLOTHERME-ENERGIE 24 UG (HAFTUNGSBESCHRÄNKT)",48.2548432,12.4149925508563
"AllWin-consult e.U.",47.343201,13.196798
"Alna",59.933304,10.861105
"ALPENA ENERGY SOLUTIONS GMBH",47.725239,12.8798296
"ALPHA E-STREAM GMBH",53.573986,10.070329
"ALPHAGREEN DEVELOPPEMENT",47.249225,6.0272524
"ALPHASENSE LIMITED",51.788364,1.15017185837171
"Alpiq",46.518746,6.628594
"ALSTOM France",48.914934,2.330397
"ALSTOM Spain",40.4446517,-3.658039
"ALTAIR CHEMICAL S.R.L.",43.402726,10.85858
"ALTEREGO INNOVATION GMBH",46.6114166,14.3290485476876
"ALTERNATIVES ENERGIES",46.148254,-1.152643
"Ambès Nouryon",45.012825,-0.530755
"Amersfoort",52.1637138,5.4237595
"Ames Goldsmith Ceimig",56.46643035,-2.99856826367881
"Améthyste",49.37113,0.09058
"Amsterdam | Australiehavenweg",52.3999521,4.7955505
"Amsterdam | Den Ruygenhoek",52.26034,4.685727
"Amsterdam | Westpoort",52.3962377,4.80093
"AMT GROUP B.V.",51.6385322,5.9469234
"AMT VENTUS OFFSHORE SL.",36.778494,-6.360868
"ÅNDBERG VIND AB",62.4803601,14.7848239865627
"Andersen",40.409318,-3.6702447
"Andritz AG",47.106601,15.4202248
"Andritz AG Wien",48.1695344,16.336172
"ANEO HYDROGEN AS",63.4124391,10.4006107
"ÂNGELO COIMBRA, S.A.",38.74519085,-9.09812231920532
"Anglo American",51.51872695,-0.105631590900942
"ANGLO AMERICAN CAPITAL AUSTRALIA LIMITED",51.520422,-0.100566
"Anglo Platinum Marketing",47.1727077,8.514152
"ANISOL Equipos SL",40.495332,-3.732937
"ANLAGENTECHNIK THIEL GMBH & CO. KG",54.0155935,10.0150742447674
"ANQORE TOPCO B.V.",50.9889329,5.7790094
"Ansaldo Energia",44.4279703,8.8843274
"ANSASOL S.L.",36.5643933,-4.8563284
"Antelia",45.8365597,4.6946382
"ANTHEMIS",43.561736,7.019999
"Antuko Comercialización Sucursal España",40.429222,-3.693774
"Antwerpen | Boomsesteenweg",51.14965815,4.38049012154713
"Antwerpen | Mexicostraat",51.237322,4.40827
"ANWENDERZENTRUM H2HERTEN GMBH",51.5827385,7.1500152
"AOB AS",59.820899,10.803965
"Aon",40.4313894,-3.6834396
"AP2E",43.488093,5.357675
"APAVE",48.889879,2.254564
"APEMIN ZIZIN SA",46.54907575,23.8836172
"Aperam",50.615091,2.476635
"APEX AG",47.356845,7.972071
"APOLLINARIS BRANDS GMBH",52.50076555,13.45204335
"APPLIED HYDROGEN AS",59.6286165,9.6303417
"APPLITEK",50.95651,3.55473
"Applus+",40.448536,-3.580917
"APREN",41.6218131,-8.4723723
"APS - Administração dos Portos de Sines e do Algarve, SA",37.9543221,-8.8747084
"APVACUUM Sp. z o.o.",52.471394,16.8886498
"Åsane",60.4727154,5.3349483
"ASCEND PERFORMANCE MATERIALS EUROPEAN LIMITED",53.3842167,-2.3520084
"ASCO KOHLENSÄURE AG",47.557448,9.36955
"Asea Brown Boveri S.A.",40.438905,-3.621147
"Ash Group",53.0369624,-2.9395441
"Asistencia Técnica Industrial Asturiana, S.A.",43.515212,-5.724923
"ASKO Midt-Norge HRS",63.3432724721887,10.3733299991462
"Asociación Sectorial del Hidrógeno Verde de la Región de Murcia AHMUR",38.079783,-1.224932
"Assemini EniChem",39.2106099,9.0018424
"Assen",53.0262384,6.5763312
"Association Française des Gaz Comprimés",48.8866288,2.2445769
"ASSOCIATION HYDROPÔLE",46.2269862,7.36186502207202
"Association of Gas - and District Heating Supply Companies (FGW)",48.2019656,16.3745306
"ATAWEY",45.644741,5.86792
"ATAWEY SAS",40.4353467,-3.6863216
"ATEQ",52.2888816,-1.8954959
"ATESyn",43.227164,1.633501
"ATH",48.8530191,2.3896788
"ATLANTECH ENERGIE",46.1845933,-1.1462007
"Atlantica Sustainable Infrastructure",40.4334073,-3.6729877
"Atlanto e.U.",47.266051,11.343923
"ATLAS AGRO HOLDING AS",66.022206,12.634616
"Atlas Copco",49.04882,2.195279
"ATOME Energy PLC",53.7990817,-1.4791498
"ATOME PLC",53.7869368,-1.40367287390999
"ATOMICONE B.V.",52.2642489,6.8935041
"AVL List GmbH",47.0777018,15.4251443
"AW-ENERGY OY",60.291186,25.072881
"AWETA SISTEMI S.P.A.",44.1833634,12.208537
"AXA",48.8712949,2.3136468
"AXELERA",45.643371,4.827534
"Axens",48.8791294,2.1660008
"AXIOSUS ENERGY GMBH",52.4331354,13.5402384
"BILOGISTIK, S.A.",43.3372933,-3.0457312
"BIOENERGIE AHLINTEL GMBH & CO. KG",52.1512532,7.4637262
"BIOENERGIE DU SUD-OUEST",43.482644,-0.749815
"BIOGAS DUCHEROW GMBH",53.672991,14.078847
"BIOGASANLAGE HAßLEBEN GMBH",53.22938,13.694863
"BIOGEEN GMBH",51.9507833,7.6403024
"BIOGEM EXPRESS AG",47.375298,8.544703
"BIOGNV",45.196971,5.747964
"BIOGNV DE PERPIGNAN",43.667161,7.216494
"BIOGNV DU PAYS DE L OR",43.573241,3.861394
"Blunomy Advisory",48.8705336,2.34565
"BMR METALL- UND KABELRECYCLING GMBH",52.1658508,13.5614358163658
"BMW",48.1769098,11.5601299334586
"BO RAMBERG CONSULTING AB",47.971636,12.960611
"BOC GASES IRELAND HOLDINGS LIMITED",53.3408515,-6.2572229
"BOC HELEX",51.31803175,-0.562147008184237
"Bochnia Stalprodukt",49.9684577,20.4303286
"BODENS VÄTGAS FASTIGHETS AB",63.494276,23.007776
"BOLDRIN - S.R.L.",45.422386,11.788351
"Boll Automation GmbH",49.8738515,9.1688433
"Bolzano",46.4739791,11.3177728
"Bolzano HRS (CHIC)",46.4740985384316,11.3171937080776
"BONACIEUX ENERGIES",48.8346536,2.289455
"BONDALTI CANTABRIA SA.",43.295227,-4.195129
"BONETT GAS INVESTMENT, A.S.",50.091793,14.451471
"Bremanger Elkem ASA, Silicon Division",61.8445899,4.9774489
"Bremen | Osterholzer Heerstraße",53.0577756,8.962379
"BREMER WASSERSTOFF GMBH",53.13881485,8.71161385990556
"BRENERGIE B.V.",51.410381,5.4286966
"Brescia Industrie Chimiche Caffaro",45.5425526,10.2118019
"Bretagne Développement Innovation",47.498378,1.440557
"BRGM – French Geological Survey",47.8295909,1.9377847
"Briggs Equipment UK Ltd",52.67679915,-2.01917309906459
