"Lat","Lon","Name","Full Address","Address","ZIP","City","Country","Source"
59.922627,10.682958,"Scatec ASA","Askekroken 11, Oslo, 559, Norway",NA,NA,NA,"Norway","Hydrogen Europe"
59.922149,10.687623,"YARA CLEAN AMMONIA AS","DRAMMENSVEIEN 131, 0277, Oslo, Norwegen","DRAMMENSVEIEN 131","0277","OSLO","Norway","Amadeus"
59.922107,10.687574,"YARA","Drammensveien 131, Oslo, 277, Norway",NA,NA,NA,"Norway","Hydrogen Europe"
59.921177,10.673545,"ELKEM SILICONES SCANDINAVIA AS","DRAMMENSVEIEN 169, 0277, Oslo, Norwegen","DRAMMENSVEIEN 169","0277","OSLO","Norway","Amadeus"
59.921166,10.681725,"NEL ASA","KARENSLYST ALLÉ 49, 0279, Oslo, Norwegen","KARENSLYST ALLÉ 49","0279","OSLO","Norway","Amadeus"
59.920193,10.683579,"NEL FUEL AS","KARENSLYST ALLÉ 20, 0278, Oslo, Norwegen","KARENSLYST ALLÉ 20","0278","OSLO","Norway","Amadeus"
59.9199739,10.6739503,"HYDRO ENERGI AS","VÆKERØ DRAMMENSVEIEN 264, 0283, Oslo, Norwegen","VÆKERØ DRAMMENSVEIEN 264","0283","OSLO","Norway","Amadeus"
59.919774,10.729756,"BUHEII VINDKRAFT AS","WERGELANDSVEIEN 23B, 0167, Oslo, Norwegen","WERGELANDSVEIEN 23B","0167","OSLO","Norway","Amadeus"
59.91957,10.726114,"GREEN H AS","PARKVEIEN 33B, 0258, Oslo, Norwegen","PARKVEIEN 33B","0258","OSLO","Norway","Amadeus"
59.913821,10.650463,"HYDRO HAVRAND AS","DRAMMENSVEIEN 264, 0283, Oslo, Norwegen","DRAMMENSVEIEN 264","0283","OSLO","Norway","Amadeus"
59.913821,10.650463,"NORSK HYDRO ASA","DRAMMENSVEIEN 264, 0283, Oslo, Norwegen","DRAMMENSVEIEN 264","0283","OSLO","Norway","Amadeus"
59.913629,10.644854,"HAVIND AS","DRAMMENSVEIEN 288, 0283, Oslo, Norwegen","DRAMMENSVEIEN 288","0283","OSLO","Norway","Amadeus"
59.912877,10.731079,"Hexagon Purus","Haakon VIIs gate 2, Oslo, 161, Norway",NA,NA,NA,"Norway","Hydrogen Europe"
59.9127853,10.6362776,"TECO 2030 ASA","LYSAKER TORG 45, 1366, Bærum, Norwegen","LYSAKER TORG 45","1366","LYSAKER","Norway","Amadeus"
59.911752,10.635617,"TECO 2030","Lysaker Torg 12, Lysaker, 1366, Norway",NA,NA,NA,"Norway","Hydrogen Europe"
59.910636,10.727314,"ENBW NORWAY AS","BUSINESS VILLAGE AKER BRYGGE GRUNDINGEN 6, 0250, Oslo, Norwegen","BUSINESS VILLAGE AKER BRYGGE GRUNDINGEN 6","0250","OSLO","Norway","Amadeus"
59.9098534,10.7267187,"NORTH AMMONIA AS","Bryggegata 6, 0250 Oslo, Norway",NA,NA,NA,"Norway","Amadeus"
53.6212995,10.0152091,"SHELL DEUTSCHLAND GMBH","SUHRENKAMP 71-77, 22335, Hamburg, Freie und Hansestadt, Deutschland","SUHRENKAMP 71-77","22335","HAMBURG","Germany","Amadeus"
53.62,10,"H2 Station",NA,NA,NA,"Hamburg","DE","www.H2stations.org"
53.606164,10.01931,"CARNEADES HYDROGEN GMBH","ÜBERSEERING, 22297, Hamburg, Freie und Hansestadt, Deutschland","ÜBERSEERING","22297","HAMBURG","Germany","Amadeus"
53.6011669,9.9693995,"VIRHTECH GMBH","OFFAKAMP 9 F, 22529, Pinneberg, Deutschland","OFFAKAMP 9 F","22529","HAMBURG","Germany","Amadeus"
53.591222,9.905904,"TESA MANUFACTURING HAMBURG GMBH","SCHNACKENBURGALLEE 160, 22525, Hamburg, Freie und Hansestadt, Deutschland","SCHNACKENBURGALLEE 160","22525","HAMBURG","Germany","Amadeus"
53.5885007,9.9805379,"ETERNAL POWER GMBH","HAYNSTR. 33, 20249, Hamburg, Freie und Hansestadt, Deutschland","HAYNSTR. 33","20249","HAMBURG","Germany","Amadeus"
53.5866877,9.907006,"ELAFLEX HIBY GmbH & Co. KG","Schnackenburgallee 121, 22525, Hamburg, Germany","Schnackenburgallee 121","22525","Hamburg","Germany","Hydrogen Germany"
53.57431115,10.0090636545315,"POURKIAN GROUP BETEILIGUNG GMBH","KARLSTR. 1 A, 22085, Hamburg, Freie und Hansestadt, Deutschland","KARLSTR. 1 A","22085","HAMBURG","Germany","Amadeus"
53.573986,10.070329,"ALPHA E-STREAM GMBH","WANDSBEKER ALLEE 77, 22041, Hamburg, Freie und Hansestadt, Deutschland","WANDSBEKER ALLEE 77","22041","HAMBURG","Germany","Amadeus"
53.57,9.92,"H2 Station",NA,NA,NA,"Hamburg","DE","www.H2stations.org"
53.5614482,10.0143088787334,"WTE AG","AN DER ALSTER 6, 20099, Hamburg, Deutschland","AN DER ALSTER 6","20099","HAMBURG","Germany","Amadeus"
53.560131,9.995724,"HEMTRON GMBH","ALSTERUFER 5, 20354, Hamburg, Freie und Hansestadt, Deutschland","ALSTERUFER 5","20354","HAMBURG","Germany","Amadeus"
53.5547008,9.9809094,"HH2E WERK ARNEBURG GMBH","Kaiser-Wilhelm-Straße 93, 20355 Hamburg, Germany",NA,NA,NA,"Germany","Amadeus"
53.5543815,9.9844534,"JET TANKSTELLEN DEUTSCHLAND GMBH","CAFFAMACHERREIHE 1, 20355, Hamburg, Freie und Hansestadt, Deutschland","CAFFAMACHERREIHE 1","20355","HAMBURG","Germany","Amadeus"
53.5538393,9.9875142,"CE58 MINING INDUSTRY GMBH","HOHE BLEICHEN 22, 20354, Hamburg, Freie und Hansestadt, Deutschland","HOHE BLEICHEN 22","20354","HAMBURG","Germany","Amadeus"
53.5530846,9.9936819,"Unknown",NA,NA,NA,"Hamburg","Germany","Hydrogen Production | European Hydrogen Observatory (europa.eu)"
53.5520846,9.9936819,"Unknown",NA,NA,NA,"Hamburg","Germany","Hydrogen Production | European Hydrogen Observatory (europa.eu)"
53.5512805,9.9837192,"Renewable Energy Hamburg Clusteragentur GmbH","Wexstrasse 7, Hamburg, 20355, Germany",NA,NA,NA,"Germany","Hydrogen Europe"
53.5511816,9.9892171,"PETROFAC DEUTSCHLAND GMBH","NEUER WALL 50, 20354, Hamburg, Freie und Hansestadt, Deutschland","NEUER WALL 50","20354","HAMBURG","Germany","Amadeus"
53.5510846,9.9936819,"Unknown",NA,NA,NA,"Hamburg","Germany","Hydrogen Production | European Hydrogen Observatory (europa.eu)"
53.5510836,10.0275876,"Sasol Germany GmbH","Anckelmannsplatz 1, Hamburg, 20537, Germany",NA,NA,NA,"Germany","Hydrogen Europe"
53.5506141,9.9877896,"DEINLAND SOLAR DEVELOPMENT GMBH","NEUER WALL 80, 20354, Hamburg, Freie und Hansestadt, Deutschland","NEUER WALL 80","20354","HAMBURG","Germany","Amadeus"
53.550341,10.000654,"Technische Universität Hamburg","Denickestr. 17, 21073, Hamburg, Germany","Denickestr. 17","21073","Hamburg","Germany","Hydrogen Germany"
53.5498259,9.9912661,"WASSERSTOFF-GESELLSCHAFT HAMBURG E.V.","ADOLPHSPLATZ 1, 20457, Hamburg, Freie und Hansestadt, Deutschland","ADOLPHSPLATZ 1","20457","HAMBURG","Germany","Amadeus"
53.5492119,9.99966147437868,"HYSOLUTIONS GMBH","BURCHARDSTR. 19 /21, 20095, Hamburg, Freie und Hansestadt, Deutschland","BURCHARDSTR. 19 /21","20095","HAMBURG","Germany","Amadeus"
53.5463115,9.9786558,"cruh21 GmbH","Erste Brunnenstr. 1, 20459, Hamburg, Germany","Erste Brunnenstr. 1","20459","Hamburg","Germany","Hydrogen Germany"
53.5459162654515,10.0025167626962,"Hamburg Hafen City HRS",NA,NA,NA,"Hamburg","Germany","Hydrogen Production | European Hydrogen Observatory (europa.eu)"
53.54481345,9.95169973734263,"DGMK DEUTSCHE WISSENSCHAFTLICHE GESELLSCHAFT FÜR NACHHALTIGE ENERGIETRÄGER, MOBILITÄT UND KOHLENSTOFFKREISLÄUFE E.V.","GROßE ELBSTR., 22767, Hamburg, Freie und Hansestadt, Deutschland","GROßE ELBSTR.","22767","HAMBURG","Germany","Amadeus"
53.5445199,9.99434979149005,"OLF DEUTSCHLAND GMBH","BROOK 2 /BLOCK H, 20457, Hamburg, Freie und Hansestadt, Deutschland","BROOK 2 /BLOCK H","20457","HAMBURG","Germany","Amadeus"
53.5439163,10.002046,"Mabanaft GmbH & Co. KG","Koreastraße 7, Hamburg, 20457, Germany",NA,NA,NA,"Germany","Hydrogen Europe"
53.54334705,9.93411251917674,"ORSTED SALES GMBH","VAN-DER-SMISSEN-STR. 9, 22767, Hamburg, Freie und Hansestadt, Deutschland","VAN-DER-SMISSEN-STR. 9","22767","HAMBURG","Germany","Amadeus"
53.5431866,9.9947823,"HANSEATIC ENERGY HUB GMBH","AM SANDTORKAI 48, 20457, Hamburg, Freie und Hansestadt, Deutschland","AM SANDTORKAI 48","20457","HAMBURG","Germany","Amadeus"
53.540821,9.9859471,"H2 GO GMBH","AM KAISERKAI 69, 20457, Hamburg, Freie und Hansestadt, Deutschland","AM KAISERKAI 69","20457","HAMBURG","Germany","Amadeus"
53.5401676,10.0025099,"Gujarat Fluorochemicals","Überseeallee 10, Regus Business Centre, Hamburg, 20457, Germany",NA,NA,NA,"Germany","Hydrogen Europe"
53.5335376,9.9806284,"Hamburger Hafen und Logistik Aktiengesellschaft","Bei St. Annen 1, 20457, Hamburg, Germany","Bei St. Annen 1","20457","Hamburg","Germany","Hydrogen Germany"
53.53,9.95,"H2 Station",NA,NA,NA,"Hamburg","DE","www.H2stations.org"
53.5142697661571,9.95004694091784,"H&R Ölwerke Schindler Hamburg-Neuhof",NA,NA,NA,"Hamburg-Neuhof","Germany","Hydrogen Production | European Hydrogen Observatory (europa.eu)"
52.57,13.43,"H2 Station",NA,NA,NA,"Berlin","DE","www.H2stations.org"
52.5544445,13.2903589,"HH2E AG","Gebäude H Tegel Flughafen 1, 13405 Berlin, Germany",NA,NA,NA,"Germany","Recherche"
52.5349777,13.4195789,"PANKE WIND GMBH","RYKESTR. 3, 10405, Berlin, Deutschland","RYKESTR. 3","10405","BERLIN","Germany","Amadeus"
52.5278783,13.3794305,"DWV","Robert-Koch-Platz 4, Berlin, D-10115, Germany",NA,NA,NA,"Germany","Hydrogen Europe"
52.5276209,13.4039894,"LAVO GERMANY GMBH","MULACKSTR. 22, 10119, Berlin, Deutschland","MULACKSTR. 22","10119","BERLIN","Germany","Amadeus"
52.524042,13.402083,"GRTGAZ DEUTSCHLAND GMBH","ROSENTHALER STR. 40 /41, 10178, Berlin, Deutschland","ROSENTHALER STR. 40 /41","10178","BERLIN","Germany","Amadeus"
52.5228747,13.3809023,"BDEW","Reinhardtstr. 32, Berlin, 10117, Germany",NA,NA,NA,"Germany","Hydrogen Europe"
52.5190732,13.3887972,"HYNAMICS DEUTSCHLAND GMBH","FRIEDRICHSTR. 94, 10117, Berlin, Deutschland","FRIEDRICHSTR. 94","10117","BERLIN","Germany","Amadeus"
52.517666,13.385818,"ZUKUNFT GAS GMBH","NEUSTÄDTISCHE KIRCHSTR., 10117, Berlin, Deutschland","NEUSTÄDTISCHE KIRCHSTR.","10117","BERLIN","Germany","Amadeus"
52.5120847,13.3099149,"EW MEDIEN UND KONGRESSE GMBH","BISMARCKSTR. 33, 10625, Berlin, Deutschland","BISMARCKSTR. 33","10625","BERLIN","Germany","Amadeus"
52.5120216,13.4158772,"Institut für Klimaschutz, Energie und Mobilität - Recht, Ökonomie und Politik e.V.","Magazinstr. 15 - 16, 10179, Berlin, Germany","Magazinstr. 15 - 16","10179","Berlin","Germany","Hydrogen Germany"
52.5118779,13.376104,"HIF EMEA GMBH","LENNESTR. 3, 10785, Berlin, Deutschland","LENNESTR. 3","10785","BERLIN","Germany","Amadeus"
52.511521,13.3915077,"IBERDROLA STROM GMBH","CHARLOTTENSTR. 63, 10117, Berlin, Deutschland","CHARLOTTENSTR. 63","10117","BERLIN","Germany","Amadeus"
52.5112731,13.3889185,"LIFTE H2-GMBH","KRONENSTR. 63, 10117, Berlin, Deutschland","KRONENSTR. 63","10117","BERLIN","Germany","Amadeus"
52.5111993,13.3872982,"OHD OFFSHORE HYDROGEN DEVELOPMENT ADMINISTRATION TWO GMBH","KRONENSTR. 73, 10117, Essen, Deutschland","KRONENSTR. 73","10117","BERLIN","Germany","Amadeus"
52.5111659,13.4042824,"HDF ENERGY DEUTSCHLAND GMBH","WALLSTR. 9, 10179, Berlin, Deutschland","WALLSTR. 9","10179","BERLIN","Germany","Amadeus"
52.5105511,13.3913361,"S-H2 - SUSTAINABLE HYDROGEN GMBH","LEIPZIGER STR. 96, 10117, Berlin, Deutschland","LEIPZIGER STR. 96","10117","BERLIN","Germany","Amadeus"
52.51,13.26,"H2 Station",NA,NA,NA,"Berlin","DE","www.H2stations.org"
52.5094467,13.3796957,"MULTIPLY AG","LEIPZIGER PLATZ 11, 10117, Berlin, Deutschland","LEIPZIGER PLATZ 11","10117","BERLIN","Germany","Amadeus"
52.5089423,13.3750321,"LIFTE H2","Potsdamer Platz 1, Berlin, 10785, Germany",NA,NA,NA,"Germany","Hydrogen Europe"
52.5083233,13.3943543,"SEEHG SECURING ENERGY FOR EUROPE HOLDING GMBH","MARKGRAFENSTR. 23, 10117, Berlin, Deutschland","MARKGRAFENSTR. 23","10117","BERLIN","Germany","Amadeus"
52.5071785,13.3279356,"NOW GMBH NATIONALE ORGANISATION WASSERSTOFF- UND BRENNSTOFFZELLENTECHNOLOGIE","FASANENSTR. 5, 10623, Berlin, Deutschland","FASANENSTR. 5","10623","BERLIN","Germany","Amadeus"
52.5050831,13.3323631,"GLOBAL ENERGY INTERCONNECTION RESEARCH INSTITUTE EUROPE GMBH","KANTSTR. 162, 10623, Berlin, Deutschland","KANTSTR. 162","10623","BERLIN","Germany","Amadeus"
52.503616,13.32865,"H2 NOW GMBH","KURFÜRSTENDAMM, 10719, Berlin, Deutschland","KURFÜRSTENDAMM","10719","BERLIN","Germany","Amadeus"
52.50254,13.316714,"GEG INTEGRATED SOLUTIONS GMBH","SCHLÜTERSTR., 10629, Berlin, Deutschland","SCHLÜTERSTR.","10629","BERLIN","Germany","Amadeus"
52.50213,13.377993,"CLEAN ENERGY PARTNERSHIP (CEP) E.V.","SCHÖNEBERGER STR., 10963, Berlin, Deutschland","SCHÖNEBERGER STR.","10963","BERLIN","Germany","Amadeus"
