HRS name,HRS operator,HRS owner,street address,postal code,city,Country,Source,Full Address,Latitude,Longitude
Aachen,H2 Mobility,H2 Mobility,Prager Ring 106,52070,Aachen,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Prager Ring 106, 52070, Aachen, Germany",50.797733,6.10919
Aberdeen | City Hydrogen Energy Storage (ACHES),Norco Energy,Aberdeen City Council,Langdykes Road,AB12 3SH,Aberdeen,United Kingdom,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Langdykes Road, AB12 3SH, Aberdeen, United Kingdom",57.10570385,-2.088462307992419
Aberdeen | Kittybrewster,BOC,BOC,"38 Powis Terrace, Kittybrewster",AB25 3RF,Aberdeen,United Kingdom,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"38 Powis Terrace, Kittybrewster, AB25 3RF, Aberdeen, United Kingdom",57.1613391,-2.1137147
Albacete,ajusa,ajusa,"Parque Empresarial Ajusa, Calle 2",02006,Albacete,Spain,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Parque Empresarial Ajusa, Calle 2, 02006, Albacete, Spain",38.9856959,-1.8700256
Alna,Everfuel,Everfuel,Nedre Kalbakkvei 96,1081,Oslo,Norway,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Nedre Kalbakkvei 96, 1081, Oslo, Norway",59.933304,10.861105
Amsterdam | Australiehavenweg,OrangeGas,OrangeGas,Australiëhavenweg 116,1046 BR,Amsterdam,Netherlands,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Australiëhavenweg 116, 1046 BR, Amsterdam, Netherlands",52.3999521,4.7955505
Amsterdam | Den Ruygenhoek,Shell,Shell,Rijksweg A4 Oz 1,2132 MA,Hoofddorp,Netherlands,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Rijksweg A4 Oz 1, 2132 MA, Hoofddorp, Netherlands",52.26034,4.685727
Amsterdam | Westpoort,Shell,Shell,Galwin 6,1046 AW,Amsterdam,Netherlands,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Galwin 6, 1046 AW, Amsterdam, Netherlands",52.3962377,4.80093
Antwerpen | Mexicostraat,CMB.TECH,CMB.TECH,Mexicostraat 11,2030,Antwerpen,Belgium,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Mexicostraat 11, 2030, Antwerpen, Belgium",51.237322,4.40827
Arnhem,PitPoint,TotalEnergies Gas Mobility,Westervoortsedijk 71 C,6827 AV,Arnhem,Netherlands,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Westervoortsedijk 71 C, 6827 AV, Arnhem, Netherlands",51.9704712,5.9466214
Åsane,Uno-X,Uno-X,Liamyrane 2,5132,Nyborg,Norway,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Liamyrane 2, 5132, Nyborg, Norway",60.4727154,5.3349483
Assen,OrangeGas,OrangeGas,Duitslandlaan 1,9403 DL,Assen,Netherlands,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Duitslandlaan 1, 9403 DL, Assen, Netherlands",53.0262384,6.5763312
Asten,H2 Mobility,OMV,An der Bundesstraße 1,4481,Asten,Austria,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"An der Bundesstraße 1, 4481, Asten, Austria",,
Bad Homburg,H2 Mobility,H2 Mobility,Ober-Eschbacher Str. 142,61352,Bad Homburg,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Ober-Eschbacher Str. 142, 61352, Bad Homburg, Germany",50.2107866,8.657675517280001
Bad Rappenau,H2 Mobility,H2 Mobility,Buchäckerring 40,74906,Bad Rappenau,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Buchäckerring 40, 74906, Bad Rappenau, Germany",49.2124484,9.077172
Bayreuth,H2 Mobility,H2 Mobility,Christian-Ritter-von-Langheinrich 2,95448,Bayreuth,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Christian-Ritter-von-Langheinrich 2, 95448, Bayreuth, Germany",49.96278135,11.61078501925254
Berg bei Hof,H2 Mobility,H2 Mobility,Sieggrubenstraße 5,95180,Berg bei Hof,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Sieggrubenstraße 5, 95180, Berg bei Hof, Germany",50.3713996,11.7893964
Berlin | Heerstraße,H2 Mobility,H2 Mobility,Heerstraße 35-37,13593,Berlin,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Heerstraße 35-37, 13593, Berlin, Germany",52.508396,13.260137
Berlin | Holzmarktstraße,H2 Mobility,H2 Mobility,Holzmarktstraße 36 - 42,10243,Berlin,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Holzmarktstraße 36 - 42, 10243, Berlin, Germany",52.5114331,13.4288729
Berlin | Rothenbachstraße,H2 Mobility,H2 Mobility,Rothenbachstr. 1,13089,Berlin,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Rothenbachstr. 1, 13089, Berlin, Germany",52.5716016,13.4296019
Berlin | Schönefeld BER,TotalEnergies Marketing Deutschland GmbH,TotalEnergies Marketing Deutschland GmbH,Elly-Beinhorn-Ring 2a,12529,Schönefeld,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Elly-Beinhorn-Ring 2a, 12529, Schönefeld, Germany",52.3709675,13.5281327
Berlin | Tempelhofer Weg,H2 Mobility,H2 Mobility,Tempelhofer Weg 102,12347,Berlin,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Tempelhofer Weg 102, 12347, Berlin, Germany",52.450414,13.4344896
Bern Bethlehem,Coop Mineraloel AG,Coop Mineraloel AG,Eymattstrasse 15,3027,Bern,Switzerland,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Eymattstrasse 15, 3027, Bern, Switzerland",46.9510352,7.393156144812277
Biebelried,H2 Mobility,H2 Mobility,Würzburger Str.  55,97318,Biebelried,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Würzburger Str.  55, 97318, Biebelried, Germany",49.7668052,10.0756538
Birmingham,Motive Fuels,Motive Fuels,"Tyseley Energy Park, Hay Mills",B25 8DW,Birmingham,United Kingdom,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Tyseley Energy Park, Hay Mills, B25 8DW, Birmingham, United Kingdom",52.46292165,-1.838368600000003
Bolzano,IIT Bolzano,IIT Bolzano,Via Enrico Mattei 1,39100,Bolzano,Italy,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Via Enrico Mattei 1, 39100, Bolzano, Italy",46.4739791,11.3177728
Bonn,H2 Mobility,H2 Mobility,Hermann-Wandersleb-Ring,53121,Bonn,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Hermann-Wandersleb-Ring, 53121, Bonn, Germany",50.7270589,7.0679735
Brabrand,Everfuel,Everfuel,Logistikparken 12,8220,Brabrand,Denmark,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Logistikparken 12, 8220, Brabrand, Denmark",56.161911,10.07641
Braunschweig,H2 Mobility,H2 Mobility,Hamburger Str. 211,38112,Braunschweig,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Hamburger Str. 211, 38112, Braunschweig, Germany",52.2883767,10.520398
Breda,TotalEnergies Gas Mobility,TotalEnergies Gas Mobility,Minervum 7001,4817,Breda,Netherlands,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Minervum 7001, 4817, Breda, Netherlands",51.5834537,4.8256201
Bremen | Osterholzer Heerstraße,H2 Mobility,H2 Mobility,Osterholzer Heerstraße 222,28325,Bremen,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Osterholzer Heerstraße 222, 28325, Bremen, Germany",53.0577756,8.962379
Brunsbüttel,H2 Mobility,H2 Mobility,Holstendamm,25572,Brunsbüttel,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Holstendamm, 25572, Brunsbüttel, Germany",53.907895,9.23835
Caen | Bretteville-sur-Odon,Engie,SDEC Energie,Rue Jules Vedrines,14760,Bretteville sur Odon,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Rue Jules Vedrines, 14760, Bretteville sur Odon, France",49.175285,-0.433907
Chambéry,Hympulsion,Hympulsion,Rue des epinettes,73290,La-Motte-Servolex,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Rue des epinettes, 73290, La-Motte-Servolex, France",45.611096,5.884036
Cherbourg-en-Cotentin | Tourlaville,SPIE,Communauté d'agglomération du Cotentin,ZI Portuaire des Mielles,50110,Tourlaville,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"ZI Portuaire des Mielles, 50110, Tourlaville, France",,
Copenhagen,Everfuel,Everfuel,Energiporten 2,2450,Copenhagen,Denmark,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Energiporten 2, 2450, Copenhagen, Denmark",55.657684,12.55793
Copenhagen - S,Everfuel,Everfuel,Prags Boulevard 69B,2300,Copenhagen - S,Denmark,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Prags Boulevard 69B, 2300, Copenhagen - S, Denmark",55.669904,12.62261
Crissier,Coop Mineraloel AG,Coop Mineraloel AG,Chemin de Saugy 3,1023,Crissier,Switzerland,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Chemin de Saugy 3, 1023, Crissier, Switzerland",46.548821,6.569258
Den Haag,OrangeGas,BP Kerkhof & Zn B.V.,Binckhorstlaan 100,2516 BE,Den Haag,Netherlands,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Binckhorstlaan 100, 2516 BE, Den Haag, Netherlands",52.0715738,4.3356096
Derching,H2 Mobility,H2 Mobility,Winterbruckenweg 53,86316,Derching,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Winterbruckenweg 53, 86316, Derching, Germany",48.4070993,10.9513909
Doetinchem,Kuster,Kuster,Braamtseweg 10,7007CK,Doetinchem,Netherlands,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Braamtseweg 10, 7007CK, Doetinchem, Netherlands",51.9462231,6.283633
Dole,Colruyt DATS 24,Grand Dole,D321,39100,Damparis,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"D321, 39100, Damparis, France",,
Dortmund,H2 Mobility,H2 Mobility,Schützenstr.  2-4,44147,Dortmund,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Schützenstr.  2-4, 44147, Dortmund, Germany",51.51890395,7.452721637885742
Douains / SNA,GNVert,SIEGE 27,avenue du Capitaine Vandière de Vitrac,27120,Douains,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"avenue du Capitaine Vandière de Vitrac, 27120, Douains, France",,
Dresden,H2 Mobility,H2 Mobility,Wiener Strasse 39,01069,Dresden,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Wiener Strasse 39, 01069, Dresden, Germany",51.0365149,13.7486437
Duisburg,H2 Mobility,H2 Mobility,Am Schlueterhof  27,47059,Duisburg,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Am Schlueterhof  27, 47059, Duisburg, Germany",51.43819415,6.738977183406051
Düsseldorf | Oerschbachstraße,H2 Mobility,H2 Mobility,Oerschbachstraße 150,40591,Düsseldorf,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Oerschbachstraße 150, 40591, Düsseldorf, Germany",51.1886071,6.8416885
Erfurt,H2 Mobility,H2 Mobility,Am Urbicher Kreuz 34,99099,Erfurt,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Am Urbicher Kreuz 34, 99099, Erfurt, Germany",50.9494893,11.0938028
Erlangen,H2 Mobility,H2 Mobility,Bunsenstraße  76,91058,Erlangen,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Bunsenstraße  76, 91058, Erlangen, Germany",49.5665132,11.00108601155452
Essen,H2 Mobility,H2 Mobility,Katenberger Str. 99,45327,Essen,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Katenberger Str. 99, 45327, Essen, Germany",51.5031063,7.048800898997948
Évreux,EASHyMob,SIEGE 27,246 rue Maryse Bastier (ZAC du long buisson),27930,Le-Viel-Évreux,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"246 rue Maryse Bastier (ZAC du long buisson), 27930, Le-Viel-Évreux, France",49.012989,1.186329
FaHyence,Mob'Hy,Communauté d'Agglomération Sarreguemines Confluences,1 rue Jean-Baptiste Dumaire,57200,Sarreguemines,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"1 rue Jean-Baptiste Dumaire, 57200, Sarreguemines, France",49.10751,7.087556
Fellbach,H2 Mobility,H2 Mobility,Ohmstraße 25,70736,Fellbach,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Ohmstraße 25, 70736, Fellbach, Germany",48.8222621,9.28534394832661
Flensburg | Handewitt,H2 Mobility,H2 Mobility,Lecker Chausee 36,24983,Handewitt,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Lecker Chausee 36, 24983, Handewitt, Germany",,
Flughafen Köln/Bonn,H2 Mobility,H2 Mobility,Nordallee 2,51147,Köln,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Nordallee 2, 51147, Köln, Germany",50.8816777,7.112908670297696
Frankfurt | Hanauer Landstraße,H2 Mobility,H2 Mobility,Hanauer Landstr. 334,60314,Frankfurt am Main,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Hanauer Landstr. 334, 60314, Frankfurt am Main, Germany",50.123266,8.74323022536849
Frankfurt | Hoechst,Infraserv,Infraserv,Otto-Horn-Straße,65926,Frankfurt am Main,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Otto-Horn-Straße, 65926, Frankfurt am Main, Germany",50.24332769999999,8.596199602829852
Frankfurt | Niederräder Ufer,H2 Mobility,H2 Mobility,Niederräder Ufer 51,60528,Frankfurt am Main,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Niederräder Ufer 51, 60528, Frankfurt am Main, Germany",50.08847865,8.635740407442604
