Country,Value (€/kg)
Italy,36.11525228420696
Romania,34.72994474814956
Hungary,33.407683787722824
Slovakia,32.14069438587141
Germany,31.849469288287207
Austria,31.368331270771378
Lithuania,30.813181092874547
Denmark,30.300359563428135
Luxembourg,30.29853128535125
Croatia,29.72757411335962
Sweden,29.57426330168758
Slovenia,28.815714709050106
Netherlands,28.625326451599285
Estonia,28.61872986029928
Belgium,28.286733505035627
Latvia,28.257016338333308
Czechia,28.18299508713499
Finland,27.929211224562753
France,27.79114024769512
Poland,27.30305379569894
Ireland,27.21266891556629
Greece,26.89195984749192
Spain,25.544669184018506
Portugal,25.196424004138112
Bulgaria,22.984391889323987
Cyprus,22.82803989558004
Norway,15.80977257325711
Malta,13.818988464282263
United Kingdom,5.763128323735013
Switzerland,0.0
