Year:year,Member State:text,Greenhouse gas (GHG) emission intensity:number,Greenhouse gas (GHG) emission intensity:number,Indicative level-high:number,Indicative level-low:number
2020,EU-27,,,265,265
2030,EU-27,,,118,110
1990,Sweden,,10,,
1991,Sweden,,15,,
1992,Sweden,,16,,
1993,Sweden,,18,,
1994,Sweden,,24,,
1995,Sweden,,20,,
1996,Sweden,,47,,
1997,Sweden,,22,,
1998,Sweden,,24,,
1999,Sweden,,19,,
2000,Sweden,,17,,
2001,Sweden,,19,,
2002,Sweden,,26,,
2003,Sweden,,35,,
2004,Sweden,,21,,
2005,Sweden,,17,,
2006,Sweden,,20,,
2007,Sweden,,17,,
2008,Sweden,,17,,
2009,Sweden,,17,,
2010,Sweden,,22,,
2011,Sweden,,16,,
2012,Sweden,,12,,
2013,Sweden,,12,,
2014,Sweden,,11,,
2015,Sweden,,9,,
2016,Sweden,,11,,
2017,Sweden,,11,,
2018,Sweden,,11,,
2019,Sweden,,10,,
2020,Sweden,,8,,
2021,Sweden,,9,,
2022,Sweden,,7,,
1990,Luxembourg,,418,,
1991,Luxembourg,,449,,
1992,Luxembourg,,513,,
1993,Luxembourg,,625,,
1994,Luxembourg,,522,,
1995,Luxembourg,,1058,,
1996,Luxembourg,,1048,,
1997,Luxembourg,,581,,
1998,Luxembourg,,327,,
1999,Luxembourg,,450,,
2000,Luxembourg,,92,,
2001,Luxembourg,,166,,
2002,Luxembourg,,274,,
2003,Luxembourg,,246,,
2004,Luxembourg,,266,,
2005,Luxembourg,,262,,
2006,Luxembourg,,262,,
2007,Luxembourg,,261,,
2008,Luxembourg,,234,,
2009,Luxembourg,,275,,
2010,Luxembourg,,228,,
2011,Luxembourg,,231,,
2012,Luxembourg,,234,,
2013,Luxembourg,,185,,
2014,Luxembourg,,196,,
2015,Luxembourg,,138,,
2016,Luxembourg,,72,,
2017,Luxembourg,,65,,
2018,Luxembourg,,65,,
2019,Luxembourg,,68,,
2020,Luxembourg,,57,,
2021,Luxembourg,,47,,
2022,Luxembourg,,52,,
1990,Finland,,195,,
1991,Finland,,175,,
1992,Finland,,154,,
1993,Finland,,189,,
1994,Finland,,249,,
1995,Finland,,222,,
1996,Finland,,275,,
1997,Finland,,253,,
1998,Finland,,204,,
1999,Finland,,190,,
2000,Finland,,159,,
2001,Finland,,204,,
2002,Finland,,226,,
2003,Finland,,286,,
2004,Finland,,239,,
2005,Finland,,146,,
2006,Finland,,244,,
2007,Finland,,220,,
2008,Finland,,161,,
2009,Finland,,175,,
2010,Finland,,214,,
2011,Finland,,173,,
2012,Finland,,124,,
2013,Finland,,158,,
2014,Finland,,138,,
2015,Finland,,99,,
2016,Finland,,103,,
2017,Finland,,93,,
2018,Finland,,109,,
2019,Finland,,85,,
2020,Finland,,64,,
2021,Finland,,70,,
2022,Finland,,66,,
1990,France,,205,,
1991,France,,172,,
1992,France,,174,,
1993,France,,161,,
1994,France,,148,,
1995,France,,136,,
1996,France,,136,,
1997,France,,133,,
1998,France,,156,,
1999,France,,111,,
2000,France,,72,,
2001,France,,53,,
2002,France,,62,,
2003,France,,68,,
2004,France,,65,,
2005,France,,83,,
2006,France,,85,,
2007,France,,91,,
2008,France,,81,,
2009,France,,79,,
2010,France,,78,,
2011,France,,70,,
2012,France,,77,,
2013,France,,73,,
2014,France,,55,,
2015,France,,58,,
2016,France,,66,,
2017,France,,73,,
2018,France,,59,,
2019,France,,60,,
2020,France,,56,,
2021,France,,56,,
2022,France,,68,,
1990,Latvia,,343,,
1991,Latvia,,293,,
1992,Latvia,,316,,
1993,Latvia,,242,,
1994,Latvia,,180,,
1995,Latvia,,122,,
1996,Latvia,,196,,
1997,Latvia,,124,,
1998,Latvia,,96,,
1999,Latvia,,161,,
2000,Latvia,,117,,
2001,Latvia,,114,,
2002,Latvia,,123,,
2003,Latvia,,130,,
2004,Latvia,,92,,
2005,Latvia,,86,,
2006,Latvia,,109,,
2007,Latvia,,103,,
2008,Latvia,,111,,
2009,Latvia,,97,,
2010,Latvia,,121,,
2011,Latvia,,131,,
2012,Latvia,,90,,
2013,Latvia,,127,,
2014,Latvia,,127,,
2015,Latvia,,146,,
2016,Latvia,,116,,
2017,Latvia,,65,,
2018,Latvia,,138,,
2019,Latvia,,150,,
2020,Latvia,,103,,
2021,Latvia,,97,,
2022,Latvia,,86,,
1990,Austria,,232,,
1991,Austria,,240,,
1992,Austria,,187,,
1993,Austria,,172,,
1994,Austria,,190,,
1995,Austria,,199,,
1996,Austria,,206,,
1997,Austria,,206,,
1998,Austria,,180,,
1999,Austria,,164,,
2000,Austria,,155,,
2001,Austria,,172,,
2002,Austria,,164,,
2003,Austria,,204,,
2004,Austria,,185,,
2005,Austria,,179,,
2006,Austria,,174,,
2007,Austria,,160,,
2008,Austria,,146,,
2009,Austria,,130,,
2010,Austria,,153,,
2011,Austria,,160,,
2012,Austria,,116,,
2013,Austria,,106,,
2014,Austria,,92,,
2015,Austria,,107,,
2016,Austria,,94,,
2017,Austria,,103,,
2018,Austria,,100,,
2019,Austria,,92,,
2020,Austria,,78,,
2021,Austria,,81,,
2022,Austria,,96,,
1990,Denmark,,686,,
1991,Denmark,,707,,
1992,Denmark,,677,,
1993,Denmark,,643,,
1994,Denmark,,643,,
1995,Denmark,,618,,
1996,Denmark,,638,,
1997,Denmark,,587,,
1998,Denmark,,549,,
1999,Denmark,,518,,
2000,Denmark,,487,,
2001,Denmark,,480,,
2002,Denmark,,472,,
2003,Denmark,,497,,
2004,Denmark,,430,,
2005,Denmark,,396,,
2006,Denmark,,481,,
2007,Denmark,,448,,
2008,Denmark,,420,,
2009,Denmark,,418,,
2010,Denmark,,373,,
2011,Denmark,,336,,
2012,Denmark,,284,,
2013,Denmark,,317,,
2014,Denmark,,277,,
2015,Denmark,,198,,
2016,Denmark,,230,,
2017,Denmark,,174,,
2018,Denmark,,187,,
2019,Denmark,,114,,
2020,Denmark,,111,,
2021,Denmark,,122,,
2022,Denmark,,103,,
1990,Slovakia,,468,,
1991,Slovakia,,413,,
1992,Slovakia,,346,,
1993,Slovakia,,331,,
1994,Slovakia,,280,,
1995,Slovakia,,256,,
1996,Slovakia,,253,,
1997,Slovakia,,270,,
1998,Slovakia,,246,,
1999,Slovakia,,220,,
2000,Slovakia,,210,,
