cname,year,ccode,ccodealp,ccodecow,ccodewb,Ed_qual,Hel_qual,Law_qual,Edimpart1,Helimpart1,Lawimpart1,Edimpart2,Helimpart2,Lawimpart2,EdCorr,HelCorr,LawCorr,Need_cor,Greed_cor,Ed_pay,Hel_pay,Law_pay,Other_pay,Any_bribe,Ed_ask,Hel_ask,Law_ask,Other_ask,Ask_Any,elec_not_free,Parl_conf,Vote_buy_ask
Austria,2010,40,AUT,305,40,6.243407,6.813492,6.638389,3.807707,4.269546,3.507929,1.903388,2.041647,1.864798,2.886314,3.310453,3.025817,,,.0097842,.0147119,.007997,.015796,.0298495,,,,,,,,
Austria,2013,40,AUT,305,40,6.513499,6.804426,6.532668,4.554761,5.06623,3.706081,2.251176,2.382157,2.0774,3.596603,4.012274,3.11054,,,.0049264,.0188787,.0046352,.0140474,.0318754,,,,,,,,
Austria,2017,40,AUT,305,40,6.676616,7.271623,7.219065,4.819247,5.723549,4.272843,2.072876,2.354438,1.962429,3.430853,3.979832,3.256651,2.839705,3.781037,.0047512,.0086017,.0040083,.0052351,.0167312,.0061105,.0138111,.0073757,.0110733,.023188,,5.550541,
Austria,2021,40,AUT,305,40,7.188465,7.665608,7.416291,4.363358,4.848059,3.646071,1.782079,1.931344,1.758962,2.862921,3.471414,3.100689,2.466349,2.711084,.0030449,.0115302,.0040985,.0009233,.0178111,.0058795,.0096957,.0033854,.0099427,.0234068,1.137001,6.47173,
Austria,2024,40,AUT,305,40,6.896723,6.923865,7.161346,4.953346,5.474812,4.296914,2.035318,2.284106,2.038206,3.255685,3.716516,3.326242,2.861669,3.664393,.011106,.0380907,.0056012,.0197158,.0548178,.0073844,.0175603,.0070711,.0180412,.034473,1.439868,5.382736,.0231438
Belgium,2010,56,BEL,211,56,6.968984,7.7142,6.860126,4.65731,4.882997,4.234277,1.971613,1.837913,2.081761,3.057417,3.177021,4.013154,,,.0256471,.0452401,.0097622,.0296948,.0607943,,,,,,,,
Belgium,2013,56,BEL,211,56,7.152112,7.613157,6.882984,5.315606,5.525771,4.810841,2.191461,2.001623,2.34534,3.816299,3.897902,4.522578,,,.0037725,.0211453,.0081969,.0121243,.0301775,,,,,,,,
Belgium,2017,56,BEL,211,56,6.827032,7.373502,6.853714,5.29805,5.665422,4.621046,2.273999,2.157956,2.369012,4.025835,4.113803,4.696344,4.272899,5.292651,.0185195,.0154828,.0116144,.0148417,.0373814,.0241578,.0205801,.0177431,.026545,.0574829,,4.769349,
Belgium,2021,56,BEL,211,56,7.032017,7.718231,6.988041,5.508501,5.740488,4.783966,2.005854,1.841667,2.142176,2.808668,2.873012,3.509145,3.114467,3.588392,.0095999,.0120163,.0033608,.0067209,.0226356,.0060595,.0098736,.0068604,.0118613,.0244,1.364279,5.388323,
Belgium,2024,56,BEL,211,56,7.055948,7.565843,6.944302,5.665747,6.155566,4.917557,2.156775,2.059832,2.274728,3.262459,3.287378,3.958622,3.456127,4.283848,.0138709,.0298067,.0042549,.0118435,.0441577,.0058191,.0145896,.0057854,.015167,.0306737,1.643089,4.883072,.0155594
Bulgaria,2010,100,BGR,355,100,5.011859,4.544684,4.948822,5.150832,5.426487,5.043026,2.692154,2.787051,2.690049,4.968808,5.879308,5.624303,,,.0111183,.116929,.0733418,.0521717,.1874019,,,,,,,,
Bulgaria,2013,100,BGR,355,100,5.205427,4.686424,5.321565,4.259735,5.482794,5.333922,2.237384,2.633777,2.567827,3.79851,5.883474,5.455937,,,.0233768,.2005358,.0806029,.0243468,.2515166,,,,,,,,
