Country,Total consumption
Germany,1736608.7740203303
Netherlands,984043.4032430799
Poland,784020.4561979746
Spain,611831.4404868592
Italy,607742.3465612757
United Kingdom,568987.6977877519
France,549748.41166314
Belgium,378165.0829164249
Greece,326535.7209011211
Hungary,187871.50114011948
Finland,176357.11324253082
Sweden,174691.51148292082
Norway,156713.0072773348
Lithuania,143686.94268333333
Romania,133780.30458371036
Bulgaria,121192.04780059986
Austria,116115.02004635824
Slovakia,105385.93948523124
Czechia,104109.54331330297
Portugal,103345.81504
Croatia,62335.749941807684
Denmark,25289.485889910356
Switzerland,20549.795527227525
Ireland,8226.7224755
Slovenia,1809.4050052
Iceland,753.0294339622642
Luxemburg,574.9602325
Latvia,67.1797736
Estonia,16.8588679245283
