Country,Value (€/kg)
Luxembourg,9.595710989223306
Slovakia,9.316620289059353
Croatia,8.589821319053362
Slovenia,8.385172576109072
Hungary,7.820671361012923
Italy,7.792784829776843
Latvia,7.779570573794457
Romania,7.715759964597899
Germany,7.633407199788022
Lithuania,7.3567335068392525
Belgium,7.336291807693096
Denmark,7.259121901282922
Finland,6.961202021902444
Norway,6.884074794836098
France,6.807338337198037
Poland,6.778285471625936
Czechia,6.68698783652675
Estonia,6.587222461241305
Cyprus,6.385281223678209
Netherlands,6.245959004993317
Sweden,6.093126583918979
Malta,5.800792125164008
Spain,5.767288537442192
United Kingdom,5.763128323735013
Austria,5.693329854517033
Ireland,5.477489826448741
Portugal,5.198878870005573
Greece,5.177097979923627
Bulgaria,4.1768406126830895
Switzerland,0.0
