Country,Output T/year
Germany,1743512.423463998
Netherlands,975233.6722518498
Poland,784637.1189707745
Spain,614470.5592442635
Italy,607913.1264903757
United Kingdom,569135.4957877519
France,552822.8446402401
Belgium,411229.6346272369
Greece,326557.4587369211
Hungary,188005.16967431948
Finland,176435.7879595116
Sweden,175366.8789904208
Norway,157609.58999431593
Lithuania,143686.94268333333
Romania,134334.66881181035
Bulgaria,121173.04554769985
Austria,115472.34427485823
Portugal,106284.80186666668
Slovakia,105597.68760783123
Czechia,103866.11426910297
Croatia,62316.80306730769
Denmark,24952.846101593375
Switzerland,20549.795527227525
Ireland,7864.365692
Slovenia,1846.5
Iceland,753.0294339622642
Estonia,16.8588679245283
