,Country,Hydrogen Valleys
0,Germany,16
1,Spain,7
2,Netherlands,6
3,Portugal,5
4,United States,4
5,Italy,4
6,France,4
7,United Kingdom,4
8,Australia,4
9,Denmark,3
10,Norway,3
11,Greece,3
12,China,3
13,Brazil,3
14,Ukraine,2
15,Belgium,2
16,Finland,2
17,Romania,2
18,Chile,2
19,Poland,2
20,Austria,2
21,Sweden,1
22,Turkey,1
23,Ireland,1
24,Thailand,1
25,Slovenia,1
26,Saudi Arabia,1
27,Hungary,1
28,French Guiana,1
29,Luxembourg,1
30,Estonia,1
31,Canada,1
32,Oman,1
33,Japan,1
34,Slovakia,1
35,Israel,1
