Name;"Lead developer";"Investment volume (M EUR)";"Main location";"H2 Production (T/year)";Status;"Funding sources";"Value chain coverage";"Primary energy sources";"H2 Production";"H2 Storage";"H2 Transport";"H2 Distribution";"End use sectors";"Application in mobility";"Application in energy";"Application in industrial use"
"Advanced Clean Energy Storage Project";"Mitsubishi Power and Magnum Development";N.A.;"United States";N.A.;N.A.;Private;"H2 Production, H2 Storage";;"Water electrolysis with PEM electrolyser, Water electrolysis with ALK electrolyser";Cavern;;;"Mobility, Energy, Industrial use as feedstock";;"Hydrogen supply to gas-fired power plants, Hydrogen supply for injection into gas grid";"Supply to other industries"
AdvancedH2Valley;"Lhyfe SA";64.00;France;1175;"pre-FID (planning, engineering, de-risking, etc.)";"Private, Public: National";"H2 Production, H2 Transport, H2 Distribution";;"Water electrolysis with PEM electrolyser, Water electrolysis with ALK electrolyser";;Trucking;"HRS 700 bar, HRS 350 bar";Mobility;"Cars, Trucks, Ships, Other";;
"Alberta Industrial Heartland Hydrogen Valley";"Transition Accelerator";10000.00;Canada;N.A.;N.A.;"Private, Public: National";"Primary energy, H2 Production, H2 Transport, H2 Distribution";"Natural gas";"SMR, SMR with CC(U)S";;Pipeline;"HRS 350 bar";"Mobility, Energy";Trucks;"Hydrogen supply for injection into gas grid";
"Amber Hydrogen Valley";"Orlen S.A.";N.A.;Poland;4000;N.A.;Private;"H2 Production, H2 Storage, H2 Transport, H2 Distribution";;"Water electrolysis with PEM electrolyser, Water electrolysis with ALK electrolyser";Cavern;"Pipeline, Trucking";"HRS 700 bar, HRS 350 bar";"Mobility, Industrial use as feedstock";"Cars, Buses, Trucks, Forklifts, Trains";;"Supply to refineries"
"Andalusian Green Hydrogen Valley, with two main locations, Huelva (whit ONUBA and the Methanol Plant projects) and Algeciras (CARTEIA Project)";Cepsa;3000.00;Spain;300000;"Feasibility study ongoing";"Private, Public: Supranational, National";"Primary energy, H2 Production, H2 Storage, H2 Transport, H2 Distribution";"Electricity from renewable energy sources";"Water electrolysis with PEM electrolyser, Water electrolysis with ALK electrolyser, SMR, SMR with CC(U)S, External sourcing from outside the H2 valley";Cylinder;"Pipeline, Ship";"HRS 700 bar, HRS 350 bar";"Mobility, Industrial use as feedstock";"Buses, Other";;"Supply to chemical industry (e.g. fertilizer production), Supply to refineries, Supply to steel industry"
"Aveiro Green H2 Valley";Smartenergy;267.40;Portugal;9116;"pre-FID (planning, engineering, de-risking, etc.)";N.A.;"Primary energy, H2 Production, H2 Storage, H2 Transport";"Electricity from renewable energy sources";"Water electrolysis with ALK electrolyser";Cylinder;"Pipeline, Trucking";;Energy;;"Hydrogen supply to gas-fired power plants, Hydrogen supply for injection into gas grid";
BalticSeaH2;"CLIC Innovation Oy, Gasgrid Finland Oy";3950.00;Finland;150000;"Under construction";"Private, Public: Supranational, National";"H2 Production, H2 Storage, H2 Transport, H2 Distribution";;;Cylinder;"Pipeline, Trucking, Ship";"HRS 700 bar, HRS 350 bar";"Mobility, Energy, Industrial use as feedstock";"Cars, Buses, Trucks, Ships";"Stationary fuel cells for distributed generation";"Supply to chemical industry (e.g. fertilizer production), Supply to refineries"
"Basque Hydrogen Corridor BH2C";"Petronor (Repsol Group)";1100.00;Spain;21000;N.A.;N.A.;"Primary energy, H2 Production, H2 Storage, H2 Transport, H2 Distribution";"Electricity from renewable energy sources";"Water electrolysis with PEM electrolyser, Water electrolysis with ALK electrolyser, Water electrolysis with high-temp SOE electrolyzer, Other";"Cylinder, Cavern, Other";"Pipeline, Trucking";"HRS 700 bar, HRS 350 bar";"Mobility, Energy, Industrial use as feedstock";"Cars, Buses, Trucks, Forklifts, Ships";"Hydrogen supply for injection into gas grid";"Supply to refineries, Supply to steel industry, Supply to other industries"
BenortH2;"Hy.Five Hydrogen S.L.U.";60.00;Spain;3200;"pre-FID (planning, engineering, de-risking, etc.)";N.A.;"Primary energy";"Electricity from renewable energy sources";;;;;;;;
"BIG HIT (Building Innovative Green Hydrogen Systems in Isolated Territories)";"Foundation for the development of new hydrogen technologies in Aragon (project coordination), ITM Power (technical leader), Scottish hydrogen and fuel cell association";13.50;"United Kingdom";N.A.;N.A.;"Private, Public: Supranational, National";"H2 Production, H2 Transport, H2 Distribution";;"Water electrolysis with PEM electrolyser";;Ship;"HRS 350 bar";"Mobility, Energy";Cars;"Stationary fuel cells for distributed generation";
"Black Horse";Bioway;5800.00;Slovakia;N.A.;"Project concept developed";"Private, Public: Supranational, National";"H2 Production, H2 Storage, H2 Transport, H2 Distribution";;"Water electrolysis with PEM electrolyser";Cylinder;Trucking;"HRS 700 bar";Mobility;Trucks;;
"Ceará - Green Hydrogen House";"The Pecém Port and Industrial Complex is developing the projects with various private investors.";6000.00;Brazil;5000000;"pre-FID (planning, engineering, de-risking, etc.)";"Private, Public: Supranational, National";"Primary energy, H2 Production, H2 Storage, H2 Transport";"Electricity from renewable energy sources";"Water electrolysis with ALK electrolyser";Other;"Pipeline, Ship";;"Mobility, Energy, Industrial use as feedstock";"Buses, Trucks, Forklifts, Trains, Ships";"Hydrogen supply to gas-fired power plants";"Supply to chemical industry (e.g. fertilizer production), Supply to steel industry, Supply to other industries"
"CEOG (Centrale Electrique de l'Ouest Guyanais)";"HDF (Hydrogène de France)";130.00;"French Guiana";730;N.A.;Private;"Primary energy, H2 Production, H2 Storage";"Electricity from renewable energy sources";"Water electrolysis with ALK electrolyser";Cylinder;;;Energy;;"Stationary fuel cells for distributed generation";
"Clean Hydrogen Coastline";"EWE AG";N.A.;Germany;35000;"pre-FID (planning, engineering, de-risking, etc.)";"Public: National";"H2 Production, H2 Storage";;;Cavern;;;"Mobility, Industrial use as feedstock";"Buses, Trucks";;"Supply to steel industry"
"Cluster NortH2";"Evida and Gas Storage Denmark";N.A.;Denmark;N.A.;"pre-FID (planning, engineering, de-risking, etc.)";Private;"Primary energy, H2 Production, H2 Storage, H2 Transport";"Electricity from renewable energy sources";;Cavern;Pipeline;;"Mobility, Energy, Industrial use as feedstock";Trucks;"Hydrogen supply to gas-fired power plants";"Supply to chemical industry (e.g. fertilizer production), Supply to other industries"
CONVEY;"Norwegian Hydrogen AS";20.00;Denmark;500;"pre-FID (planning, engineering, de-risking, etc.)";"Private, Public: Supranational";"Primary energy, H2 Production";"Electricity from renewable energy sources";Byproduct;;;;"Mobility, Energy";Trucks;"Hydrogen supply to gas-fired power plants";
"CQ-H2 Hydrogen Hub";"Stanwell Corporation";N.A.;Australia;N.A.;N.A.;;;;;;;;;;;
"CRETE-AEGEAN H2 VALLEY (CRAVE-H2)";EUNICE;12.50;Greece;500;"Under construction";"Private, Public: Supranational";"Primary energy, H2 Production, H2 Storage, H2 Transport, H2 Distribution";"Electricity from renewable energy sources";"Water electrolysis with ALK electrolyser";Cylinder;Trucking;"HRS 350 bar";"Mobility, Energy";Buses;"Stationary fuel cells for distributed generation";
"Crystal Brook Hydrogen Superhub";"Neoen Australia";N.A.;Australia;9000;N.A.;"Private, Public: Regional";"Primary energy, H2 Production, H2 Storage, H2 Transport, H2 Distribution";"Electricity from renewable energy sources";"Water electrolysis with ALK electrolyser";;;;"Mobility, Energy, Industrial use as feedstock";"Cars, Buses, Trucks, Forklifts, Trains, Ships";"Hydrogen supply to gas-fired power plants, Hydrogen supply for injection into gas grid";"Supply to chemical industry (e.g. fertilizer production), Supply to refineries, Supply to steel industry, Supply to other industries"
Djewels;"HyCC, Gasunie";N.A.;Netherlands;N.A.;N.A.;"Public: National";"H2 Production";;"Water electrolysis with ALK electrolyser";;;;;;;
"doing hydrogen";"ONTRAS Gastransport GmbH";N.A.;Germany;N.A.;"pre-FID (planning, engineering, de-risking, etc.)";;;;;;;;;;;
eFarm;"GP JOULE Hydrogen GmbH";17.60;Germany;126;"Fully operational";"Private, Public: National, Local";"Primary energy, H2 Production, H2 Storage, H2 Transport, H2 Distribution";"Electricity from renewable energy sources";"Water electrolysis with PEM electrolyser";Cylinder;Trucking;"HRS 700 bar, HRS 350 bar";"Mobility, Energy";"Cars, Buses, Trucks, Other";Other;
"Europe's Hydrogen Hub: H2 Proposition Zuid-Holland/Rotterdam";"Port of Rotterdam, Stedin, Innovation Quarter, Economic Board Zuid-Holland, Province of Zuid-Holland & Municipality of Rotterdam";1000.00;Netherlands;1160700;N.A.;"Private, Public: Supranational, National, Regional";"Primary energy, H2 Production, H2 Storage, H2 Transport, H2 Distribution";"Electricity from renewable energy sources";"Water electrolysis with PEM electrolyser, SMR with CC(U)S";"Cylinder, Other";Pipeline;"HRS 700 bar, HRS 350 bar";"Mobility, Energy, Industrial use as feedstock";"Cars, Buses, Ships";"Hydrogen supply to gas-fired power plants, Hydrogen supply for injection into gas grid";"Supply to chemical industry (e.g. fertilizer production), Supply to refineries"
