LAT,LON,Title,Partner,Partner ohne Markdown,Website,Straße,PLZ,Ort,Land,Partner aus…,Beteiligt in…,Funktion als…,Webadresse,Mehrere Partner
52.3826846,13.2765576,,[ADLARES GmbH](www.adlares.com),ADLARES GmbH,https://www.adlares.com/,Oderstr. 65,14513,Teltow,Brandenburg,Wirtschaft,GetH2,Partner,www.adlares.com,
52.4766288,13.3563938,,[Agentur für Erneuerbare Energien e.V.](www.unendlich-viel-energie.de),Agentur für Erneuerbare Energien e.V.,https://www.unendlich-viel-energie.de/,EUREF-Campus 16,10829,Berlin,Berlin,Wirtschaft,Campfire,Partner,www.unendlich-viel-energie.de,
49.5130209,8.4219463,,[BASF SE - Public Funding Europe RC/OFP - C006](www.basf.com),BASF SE - Public Funding Europe RC/OFP - C006,https://www.basf.com/,Carl-Bosch-Str. 38 / Tor 7,67063,Ludwigshafen am Rhein,Rheinland-Pfalz,Wirtschaft,Derivate,Partner,www.basf.com,
51.6962223,9.4031911,,[Brandenburgische Technische Universität Cottbus-Senftenberg - Fachgebiet Energiewirtschaft](www.b-tu.de),Brandenburgische Technische Universität Cottbus-Senftenberg - Fachgebiet Energiewirtschaft,https://www.b-tu.de/,Siemens-Halske-Ring 13,3046,Cottbus,Brandenburg,Wissenschaft,"Systemanalyse, Mukran",Partner,www.b-tu.de,
52.4330402,13.2947951,,[Bundesanstalt für Materialforschung und -prüfung (BAM)](www.bam.de),Bundesanstalt für Materialforschung und -prüfung (BAM),https://www.bam.de/,Unter den Eichen 87,12205,Berlin,Berlin,Wirtschaft,Normung,Partner,www.bam.de,
54.3412831,10.1184822,,[Christian-Albrechts-Universität zu Kiel - Mathematisch-Naturwissenschaftliche Fakultät - Sektion Chemie - Institut für Anorganische Chemie](www.uni-kiel.de),Christian-Albrechts-Universität zu Kiel - Mathematisch-Naturwissenschaftliche Fakultät - Sektion Chemie - Institut für Anorganische Chemie,https://www.uni-kiel.de/,Max-Eyth-Str. 2,24118,Kiel,Schleswig-Holstein,Wissenschaft,Derivate,Partner,www.uni-kiel.de,
47.8928472,11.9274761,,[Clariant Produkte (Deutschland) GmbH - Katalyselabor Heufeld](www.clariant.de),Clariant Produkte (Deutschland) GmbH - Katalyselabor Heufeld,https://www.clariant.de/,Waldheimer Str. 13,83052,Bruckmühl,Bayern,Wirtschaft,Derivate,Partner,www.clariant.de,
53.5463115,9.9786558,,[cruh21 GmbH](www.aquaventus.org),cruh21 GmbH,https://www.aquaventus.org/,Erste Brunnenstr. 1,20459,Hamburg,Hamburg,Wirtschaft,"Mukran, Helgoland, Kommunikation und Koordination, LNG-Terminals",Partner und Koordinator,www.aquaventus.org,
50.114309,8.62612,,[DECHEMA Gesellschaft für Chemische Technik und Biotechnologie e.V.](www.dechema.de),DECHEMA Gesellschaft für Chemische Technik und Biotechnologie e.V.,https://www.dechema.de/,Theodor-Heuss-Allee 25,60486,Frankfurt am Main,Hessen,Wissenschaft,Systemanalyse,Koordinator,www.dechema.de,
52.4123917,13.5416874,,[Dr. Ryll Lab GmbH](dr-ryll-lab.de),Dr. Ryll Lab GmbH,https://dr-ryll-lab.de,Ewaldstr. 115a,12524,Berlin,Berlin,Wirtschaft,Derivate,Partner,dr-ryll-lab.de,
50.7153888,7.0493221,,[DVGW CERT GmbH und DVGW Deutscher Verein des Gas- und Wasserfaches e.V. - Technisch-wissenschaftlicher Verein](www.dvgw.de),DVGW CERT GmbH und DVGW Deutscher Verein des Gas- und Wasserfaches e.V. - Technisch-wissenschaftlicher Verein,https://www.dvgw.de/,Josef-Wirmer-Str. 1-3,53123,Bonn,Nordrhein-Westfalen,Wirtschaft,"Normung, LNG-Terminals",Koordinator,www.dvgw.de,
49.0463015,8.4237148,,[DVGW-Forschungsstelle am Engler-Bunte-Institut des Karlsruher Instituts für Technologie (KIT)](www.dvgw-ebi.de),DVGW-Forschungsstelle am Engler-Bunte-Institut des Karlsruher Instituts für Technologie (KIT),https://www.dvgw-ebi.de/,Engler-Bunte-Ring 1-7,76131,Karlsruhe,Baden-Württemberg,Wissenschaft,"Systemanalyse, GetH2, LNG-Terminals",Partner,www.dvgw-ebi.de,
53.5866877,9.907006,,ELAFLEX HIBY GmbH & Co. KG,ELAFLEX HIBY GmbH & Co. KG,https:///,Schnackenburgallee 121,22525,Hamburg,Hamburg,Wirtschaft,Campfire,Partner,,
48.0202131,7.8157298,,[Endress+Hauser Process Solutions (Deutschland) GmbH](www.process-solutions.endress.com),Endress+Hauser Process Solutions (Deutschland) GmbH,https://www.process-solutions.endress.com/,Georges-Köhler-Allee 71,79110,Freiburg im Breisgau,Baden-Württemberg,Wirtschaft,Sichere Infrastruktur,Partner,www.process-solutions.endress.com,
48.1101139,11.5911032,,[Energie Südbayern GmbH](www.esb.de),Energie Südbayern GmbH,https://www.esb.de/,Ungsteiner Str. 31,81539,München,Bayern,Wirtschaft,Sichere Infrastruktur,Partner,www.esb.de,
51.0275223,13.7017131,,[Energy Systems Analysis Associates - ESA2 GmbH](www.reflex-project.eu/legal-2),Energy Systems Analysis Associates - ESA2 GmbH,https://www.reflex-project.eu/legal-2/,Bernhardstr. 92,01187,Dresden,Sachsen,Wirtschaft,Systemanalyse,Partner,www.reflex-project.eu/legal-2,
51.4152346,6.7945849,,[Entwicklungszentrum für Schiffstechnik und Transportsysteme e.V.](www.dst.org),Entwicklungszentrum für Schiffstechnik und Transportsysteme e.V.,https://www.dst.org/,Oststr. 77,47057,Duisburg,Nordrhein-Westfalen,Wissenschaft,Campfire,Partner,www.dst.org,
51.6865113,7.1193118,,Evonik Operations GmbH - Standort Marl,Evonik Operations GmbH - Standort Marl,,Paul-Baumann-Str. 1,45772,Marl,Nordrhein-Westfalen,Wirtschaft,GetH2,Partner,,
48.371761,12.2521111,,[Exentis Tooling GmbH](www.exentis-group.com),Exentis Tooling GmbH,https://www.exentis-group.com/,Preysing-Allee 7a,84149,Velden,Bayern,Wirtschaft,Campfire,Partner,www.exentis-group.com,
54.5268994,13.6353692,,[Fährhafen Sassnitz GmbH](www.mukran-port.de),Fährhafen Sassnitz GmbH,https://www.mukran-port.de/,Fährhafen Sassnitz 20,18546,Sassnitz,Mecklenburg-Vorpommern,Wirtschaft,Mukran,Partner,www.mukran-port.de,
48.217997,11.5127683,,[FfE Forschungsstelle für Energiewirtschaft e.V. und Forschungsgesellschaft für Energiewirtschaft mbH (FfE GmbH)](www.ffe.de),FfE Forschungsstelle für Energiewirtschaft e.V. und Forschungsgesellschaft für Energiewirtschaft mbH (FfE GmbH),https://www.ffe.de/,Am Blütenanger 71,80995,München,Bayern,Wissenschaft,Systemanalyse,Partner,www.ffe.de,
54.0523594,12.1043263,,[Forschungszentrum für Verbrennungsmotoren und Thermodynamik Rostock GmbH](www.fvtr.de),Forschungszentrum für Verbrennungsmotoren und Thermodynamik Rostock GmbH,https://www.fvtr.de/,Joachim-Jungius-Str. 9,18059,Rostock,Mecklenburg-Vorpommern,Wirtschaft,Campfire,Partner,www.fvtr.de,
51.4436998,7.2750299,,[Fraunhofer-Einrichtung für Energieinfrastrukturen und Geothermie IEG](www.fraunhofer.de),Fraunhofer-Einrichtung für Energieinfrastrukturen und Geothermie IEG,https://www.fraunhofer.de/,Am Hochschulcampus 1 / IEG,44801,Bochum,Nordrhein-Westfalen,Wissenschaft,"Sichere Infrastruktur, LNG-Terminals",Partner,www.fraunhofer.de,
49.0279338,8.4441828,,[Fraunhofer-Einrichtung für Energieinfrastrukturen und Geothermie IEG und Fraunhofer-Institut für System- und Innovationsforschung (ISI)](www.ieg.fraunhofer.de),Fraunhofer-Einrichtung für Energieinfrastrukturen und Geothermie IEG und Fraunhofer-Institut für System- und Innovationsforschung (ISI),https://www.ieg.fraunhofer.de/,Breslauer Str. 48,76139,Karlsruhe,Baden-Württemberg,Wissenschaft,"Systemanalyse, Kommunikation und Koordination",Partner,www.ieg.fraunhofer.de,
52.4749704,12.9797123,,[Fraunhofer-Institut für angewandte Polymerforschung (IAP)](www.iap.fraunhofer.de),Fraunhofer-Institut für angewandte Polymerforschung (IAP),https://www.iap.fraunhofer.de,Geiselbergstraße 69,14476,Potsdam,Brandenburg,Wissenschaft,Mukran,Partner,www.iap.fraunhofer.de,
50.7699533,7.1900983,,[Fraunhofer-Institut für Algorithmen und Wissenschaftliches Rechnen (SCAI)](www.fraunhofer.de),Fraunhofer-Institut für Algorithmen und Wissenschaftliches Rechnen (SCAI),https://www.scai.fraunhofer.de/,Schloß Birlinghoven,53757,Sankt Augustin,Nordrhein-Westfalen,Wissenschaft,Systemanalyse,Partner,www.fraunhofer.de,
51.318625,9.4648717,,[Fraunhofer-Institut für Energiewirtschaft und Energiesystemtechnik (IEE)](www.fraunhofer.de),Fraunhofer-Institut für Energiewirtschaft und Energiesystemtechnik (IEE),https://www.iee.fraunhofer.de/,Königstor 59,34119,Kassel,Hessen,Wissenschaft,Systemanalyse,Partner,www.fraunhofer.de,
52.1454207,11.6494655,,[Fraunhofer-Institut für Fabrikbetrieb und -automatisierung (IFF)](www.fraunhofer.de),Fraunhofer-Institut für Fabrikbetrieb und -automatisierung (IFF),https://www.iff.fraunhofer.de/,Sandtorstr. 22,39106,Magdeburg,Sachsen-Anhalt,Wissenschaft,Systemanalyse,Partner,www.fraunhofer.de,
53.0992027,8.8741626,,[Fraunhofer-Institut für Fertigungstechnik und Angewandte Materialforschung (IFAM)](www.fraunhofer.de),Fraunhofer-Institut für Fertigungstechnik und Angewandte Materialforschung (IFAM),https://www.fraunhofer.de/,Wiener Str. 12,28359,Bremen,Bremen,,Helgoland,Partner,www.fraunhofer.de,
51.1223249,13.7562109,,[Fraunhofer-Institut für Keramische Technologien und Systeme (IKTS)](www.fraunhofer.de),Fraunhofer-Institut für Keramische Technologien und Systeme (IKTS),https://www.ikts.fraunhofer.de/,Maria-Reiche-Str. 2,01109,,,,Systemanalyse,Partner,www.fraunhofer.de,
48.0202131,7.8157298,,[Fraunhofer-Institut für Physikalische Messtechnik (IPM)](www.fraunhofer.de),Fraunhofer-Institut für Physikalische Messtechnik (IPM),https://www.ipm.fraunhofer.de/,Georges-Köhler-Allee 301,79110,Freiburg im Breisgau,Baden-Württemberg,Wissenschaft,"Sichere Infrastruktur, LNG-Terminals",Partner,www.fraunhofer.de,
48.0202131,7.8157298,,[Fraunhofer-Institut für Solare Energiesysteme (ISE)](www.fraunhofer.de),Fraunhofer-Institut für Solare Energiesysteme (ISE),https://www.isi.fraunhofer.de/,Heidenhofstr. 2,79110,Freiburg im Breisgau,Baden-Württemberg,Wissenschaft,"Systemanalyse, Derivate, LNG-Terminals",Partner,www.fraunhofer.de,
48.040031,7.8227861,,[Fraunhofer-Institut für Werkstoffmechanik (IWM)](www.fraunhofer.de),Fraunhofer-Institut für Werkstoffmechanik (IWM),https://www.www.iwm.fraunhofer.de/,Wöhlerstr. 11,79108,Freiburg im Breisgau,Baden-Württemberg,Wissenschaft,"Sichere Infrastruktur, Normung, LNG-Terminals",Partner,www.fraunhofer.de,
51.489626,6.9662419,,[Gas- und Wärme-Institut Essen e. V.](www.gwi-essen.de),Gas- und Wärme-Institut Essen e. V.,https://www.gwi-essen.de/,Hafenstr. 101,45356,Essen,Nordrhein-Westfalen,Wissenschaft,"Normung, Mukran, LNG-Terminals",Koordinator,www.gwi-essen.de,
51.318625,9.4648717,,[GASCADE Gastransport GmbH](www.gascade.de),GASCADE Gastransport GmbH,https://www.gascade.de/,Kölnische Str. 108-112,34119,Kassel,Hessen,Wirtschaft,Helgoland,Partner,www.gascade.de,
54.1856169,7.9104194,,"Das Trio aus der Gemeinde Helgoland, der HGH Hafenprojektgesellschaft Helgoland und der Versorgungsbetriebe Helgoland","Gemeinde Helgoland, HGH Hafenprojektgesellschaft Helgoland und Versorgungsbetriebe Helgoland",,Lung Wai 28,27498,Helgoland,Schleswig-Holstein,Wirtschaft,Helgoland,Partner,,
50.0113447,9.2153485,,"[Göhler GmbH & Co. KG, Anlagentechnik](www.goehler.de)","Göhler GmbH & Co. KG, Anlagentechnik",https://www.goehler.de/,Siemensstr. 5,63768,Hösbach,Bayern,Wirtschaft,Campfire,Partner,www.goehler.de,
53.5335376,9.9806284,,[Hamburger Hafen und Logistik Aktiengesellschaft](www.hhla.de),Hamburger Hafen und Logistik Aktiengesellschaft,https://www.hhla.de/,Bei St. Annen 1,20457,Hamburg,Hamburg,Wirtschaft,"Mukran, Helgoland",Partner,www.hhla.de,
