Name,Address,Category,Zip Code,Country,Source,Latitude,Longitude
"1s1 Energy Portugal, Unipessoal, Lda","Av. Duque de Loulé 5 6ºC, Lisbon, 1050-085, Portugal","Project, Member",1050-085,Portugal,https://hydrogeneurope.eu/members-locations/#,38.7288472,-9.1439462
ABB Ltd,"Bruggerstrasse 66, 68, Baden, 5400, Switzerland","Industry, Corporate",5400,Switzerland,https://hydrogeneurope.eu/members-locations/#,47.4790608,8.3031653
ABS Hellenic,"Sachtouri 1, Kallithea, Athens, 17674, Greece","Project, Member",17674,Greece,https://hydrogeneurope.eu/members-locations/#,37.984625699999995,23.760751232504365
ACCIONAPLUG S.L.,"Avenida de Europa 10, PE La Moraleja, Alcobendas, Madrid, 28108, Spain","Industry, Corporate",28108,Spain,https://hydrogeneurope.eu/members-locations/#,40.51632895,-3.6592051996807884
ACTEMIUM NDT E&S,"6 Rue Zamenhof, BOURG DE PEAGE, 26303, France","Project, Member",26303,France,https://hydrogeneurope.eu/members-locations/#,45.037933,5.0574158
Advent Technologies,"16 Panepistimiou St. 6th Floor, Athens, 10672, Greece","Industry, Corporate",10672,Greece,https://hydrogeneurope.eu/members-locations/#,37.9784151,23.7350094
AeH2,"Ronda de Poniente,15, 1º Int. Izda. Tres Cantos, Madrid, 28760, Spain","EU National, Association",28760,Spain,https://hydrogeneurope.eu/members-locations/#,40.6039019,-3.7184522936682893
Aéroports de Lyon,"BP 113, Lyon-Saint Exupéry Aéroport, 69125, France","Project, Member",69125,France,https://hydrogeneurope.eu/members-locations/#,45.767482,4.851515
AFC Energy,"Unit 71.4 Dunsfold Park, Stovolds Hill, Cranleigh, GU6 8TB, United Kingdom","Industry, Corporate",GU6 8TB,United Kingdom,https://hydrogeneurope.eu/members-locations/#,51.121591800000004,-0.5304616973335944
African Hydrogen Partnership,"Accuvise Administrators Limited, 7A Mayer Street, Port Louis, Mauritius","Non-EU, National, Association",Port Louis,Mauritius,https://hydrogeneurope.eu/members-locations/#,,
AGC Chemicals Europe,"Zuidplein 80, Amsterdam, 1077, Netherlands","Industry, Corporate",1077,Netherlands,https://hydrogeneurope.eu/members-locations/#,52.3400919,4.8725747
Agencia de Investigación e Innovación de Castilla-La Mancha,"Calle Francia, 7, Puertollano, 13500, Spain",EU Region,13500,Spain,https://hydrogeneurope.eu/members-locations/#,38.674731,-4.159637
