Name,Address,Phone Number,Website,Email,Latitude,Longitude,Country
ABEI ENERGY,"Calle Monte Esquinza 24, 5º izquierda",655377923,https://www.abeienergy.com/es/,ivanbarahona@abeienergy.com,40.428778,-3.691921,Spain
ABENGOA INNOVACIÓN,"C/ Energía Solar, 1 - Campus Palmas Altas, 41014 Sevilla (España)",95 493 70 00,http://www.abengoa.com/,abengoa@abengoa.com,37.3775547,-5.978279104410024,Spain
ABO Wind,"Calle Gran Vía Marqués del Turia 25, 1º, 46005 Valencia (España)",+34 963 531 180,http://www.abo-wind.com/es/,global@abo-wind.es,39.4638543,-0.3756411,Spain
ACLIMAR,POLVORANCA 138 28923 ALCORCON MADRID,651605582,http://www.aclimar.com,emilioisern@aclimar.com,40.337085,-3.812524,Spain
ACME,.,.,https://www.acme-ghc.com/,asier.aya@acme.in,,,
AEG Power Solutions Ibérica S.A.,"C/ Albert Einstein, 31, 01510, Vitoria-Gasteiz, España",+34609432373,http://www.aegps.com,e.ldearmentia@aegps.com,42.909809,-2.670241,Spain
AESA,Aragó 383 4a Planta | 08013 Barcelona,+34 934 449 300,https://aeasa.net/es,rvila@aesa.net,41.3988585,2.1735243,Spain
AFRY Management Consulting,"Plaza Marqués de Salamanca 3-4 Planta 5, 28006, Madrid",672497053,http://afry.com/,ana.castelao@afry.com,,,
AGFRA INGENIERIA,"Avenida de Beniparrell, 1 46183 Silla (Valencia) ESPAÑA",961255547,http://www.agfra.com,agfrasl@agfra.com,39.563158,-0.517326,Spain
AIMEN Centro Tecnológico,"C/ Relva, 27 A - Torneiros E36410 - O Porriño - Pontevedra - Spain",+34 664.270.548,https://www.aimen.es/,Alvaro.garcia@aimen.es,,,
AIR LIQUIDE,"Paseo de la Castellana, 79, 28046, Madrid",900 80 36 44,https://www.airliquide.es,soportecliente.es@airliquide.com,40.4475159,-3.6926919,Spain
ALENER,"Ctra. de la Esclusa 11, Edificio Galia Puerto 1ª planta, 41011, Sevilla, España.",954996100,http://www.alener.es/,solar@alener.es,,,
Alfa Laval Iberia SA,"C/ Francisco Gervás 4, planta 2ª. 28108 Alcobendas, Madrid",639374973,https://www.alfalaval.es,agustin.torralba@alfalaval.com,,,
Alpiq,Ch. Mornex 10  CH-1003 Lausanne,0041 79 359 67 98,https://www.alpiq.com/,dolores.sanchezmunoz@alpiq.com,46.518746,6.628594,Switzerland
ALSTOM,"Calle Martínez Villergas 49 - Edificio V, 28027 Madrid, Spain",913345765,https://www.alstom.com,jaime.borrell@alstomgroup.com,40.4446517,-3.658039,Spain
Andersen,"C/ Velázquez, 110, 28006 Madrid",91 781 33 00,https://es.andersen.com/,carlos.minguez@es.andersen.com,,,
Andritz AG,"Stattegger Strasse 18, 8045 Graz, Austria",0034618235457,https://www.andritz.com/group-en,sara.rodriguezalonso@andritz.com,47.106601,15.4202248,Austria
ANISOL Equipos SL,"Rascafría, 3. - Pol. Ind. Ventorro del Cano -28925 Alcorcón (Madrid)",913 528 307,https://anisol.es/,anisol@anisol.es,40.495332,-3.732937,Spain
ANSASOL S.L.,"Paseo de Bolivia, 238, Elviria, (29604) Marbella",0034 952 76 56 66,http://www.ansasol.com/,gutierrez@ansasol.com,36.5643933,-4.8563284,Spain
Antuko Comercialización Sucursal España,"C/ Almagro 22, 5ta Planta, 28010, Madrid",674977740,https://antuko.com/,ana.bautista@antuko.com,40.429222,-3.693774,Spain
Aon,"C/ Velázquez, 86d - 28006 Madrid",+34 686 69 74 97,http://www.aon.com,jose.angel.pagola@aon.es,,,
Applus+,"Calle Campezo 1, Parque Empresarial Las Mercedes, edificio 3",91 208 08 00,https://www.applus.com/global/en/,info@applusnorcontrol.com,40.448536,-3.580917,Spain
ARCAMO GROUP,"Pol. Indl. Riu Clar c/del Cobre Parcela 167, 43006, Tarragona",-,https://www.arcamo.com/,arcamo@arcamo.com,,,
ARENA,"Edificio Insur Cartuja, Calle Albert Einstein, s/n, 5ª planta, 41092, Sevilla, España",611680672,http://www.arenapower.com/,pelayo.dominguez@arenapower.com,37.403364,-6.006057,Spain
ARIEMA ENERGÍA Y MEDIOAMBIENTE S.L.,"C/ Ronda de Poniente 15, 1º Planta Izquierda B  28760 Tres Cantos, Madrid",+34 91 804 53 72 / +34 91 241 95 31,https://www.ariema.com,juan.gomezvalero@ariema.com,40.6039019,-3.718452293668289,Spain
"Arizaga, Bastarrica y Cía, S.A.",20600,943820400,http://www.abc-compressors.com,larizaga@abc-compressors.com,42.1742118,-1.5944058,Spain
ARVENG TRAINING & ENGINEERING,"Av. de Manoteras, 10. Edificio B, Oficina 111, Madrid (28050), España.",+34 913408851,https://arvengtraining.com/,info@arvenggroup.com,40.4884228,-3.670718822213856,Spain
Asea Brown Boveri S.A.,"San Romualdo 13, 28037, Madrid",+34680291551,https://new.abb.com/es,jose-alfonso.almansa@es.abb.com,40.438905,-3.621147,Spain
"Asistencia Técnica Industrial Asturiana, S.A.",C/José Llama Fdez Nº12 Pol. Somonte 33393 Gijón Asturias,985 30 12 50,https://www.atei-sa.es/,tecnico@atei-sa.com,43.515212,-5.724923,Spain
ASMAIN,28223,+34670581994,http://www.asmain.com,asmain@asmain.com,-34.5785243,-58.4148894,Argentina
Asociación Sectorial del Hidrógeno Verde de la Región de Murcia AHMUR,Calle Gabriel Campillo s/n  Polígono Industrial La Serreta 30500 Molina de Segura,968520361,http://www.ahmur.org,secretaria.tecnica@ahmur.org,38.079783,-1.224932,Spain
ATAWEY SAS,"Calle Serrano 110, 28006, Madrid",+34 636396239,http://atawey.com,n.prieto@atawey.com,40.4353467,-3.6863216,Spain
Atlantica Sustainable Infrastructure,"Calle Francisco Silvela 42, 28028 Madrid",+34 913300695,https://www.atlantica.com,monica.insua@atlantica.com,40.4334073,-3.6729877,Spain
Avalon Renovables,"Calle Alfonso XII, nº 20, 28014, Madrid",91 517 35 70,http://www.avalonrenovables.com/,activos@avalonrenovables.com,40.416997,-3.689251,Spain
AVL IBÉRICA S.A.,"Paseo Arco de Ladrillo 68 planta 5, E-47007 Valladolid",+34 983 548 073,https://www.avl.com,electrificacion@avl.com,41.632963,-4.729462,Spain
AYESA Ingeniería y Arquitectura,AVDA MARIE CURIE 2 EDIFICIO AYESA 41092 SEVILLA,954467046,http://www.ayesa.com/,jagarcia@ayesa.com,37.340679,-6.05642,Spain
Baltimore Aircoil Int nv,"Carretera de Fuencarral, 44 CAMPUS TRIBECA Edificio 1 Bajo izquierda",+34651861565,https://baltimoreaircoil.eu/es,jcastejonlopez@baltimoreaircoil.com,40.5317418,-3.6451995,Spain
"BASE SISTEMAS Y SUMINISTROS, S.A.","Plataforma Logística PLAZA, Avenida Diagonal 14, Nave 16, 50197 ZARAGOZA",976587019,http://www.basesistemas.com/,administracion@basesistemas.com,41.644146,-0.983254,Spain
BATERÍAS SOLARES ESPAÑA S.L,"C/ Juan Carlos I. 31. Local. 28660. Boadilla del Monte, Madrid",+34 635961079,https://www.bsspain.com,info@bsspain.com,,,
BAYWARE,.,.,https://www.baywa-re.es/es/,maria.santamaria@baywa-re.com,,,
Benbros Energy,"C/ GUSTAVO FERNANDEZ BALBUENA, 11 28002 MADRID",672250253,http://benbros.es/,inigo.benjumea@benbros.es,40.4497288,-3.6678545,Spain
"BILOGISTIK, S.A.","Avenida Iparragirre ( ADIF), 58 - PISO 1, SANTURTZI, BIZKAIAterminal Ferroviaria",660960337,https://www.bilogistik.com/,ibon@bilogistik.com,43.3372933,-3.0457312,Spain
Bollfilter España S.L.U.,"Paseo del Ferrocarril, 339, 3-2",936342680,https://www.bollfilter.com/es/,Uwe.Beck@bollfilter.com,19.520875,-99.186556,Mexico
Bosch España,"Av. de la Institución Libre de Enseñanza, 19, 28037 Madrid",630340653,https://www.bosch.com/,joseantonio.garcia@es.bosch.com,,,
bp Energía España,"Calle Quintanadueñas, 6 (Edificio Arqborea), 2º. 28050. Madrid",+34664370011,http://www.bp.com/es,sagrari.miguel_montalva@bp.com,,,
BUREAU VERITAS,"Calle Valportillo Primera, 22-24, Edificio Caoba, Pol. Ind. La Granja, 28108 Alcobendas, Madrid",-,https://www.bureauveritas.es,,40.53084235,-3.654552049277536,Spain
Burkert Ibérica S.A.U.,"Avda. Barcelona 40A, 08970 Sant Joan Despí",934777980,https://www.burkert.es/es,info.spain@burkert.com,41.363711,2.058065,Spain
