Company Name,Additional Name,Employees,Legal Form,Registration Number,Year Established,Member,Street,ZIP,City,Country,Phone,Email,Website,Adresse,Latitude,Longitude
ACONVEST GMBH,Styrian Hydrogen,<= 5,Gesellschaft mit beschränkter Haftung,553127y,2021,H2,Saumgasse 20,8010,Graz,Österreich,+43 316 90 74 17,,https://aconvest.com,"Saumgasse 20, 8010, Graz, Österreich",47.097406,15.437253
AA-Solutions GmbH,Swagelok Austria,6 - 10,Gesellschaft mit beschränkter Haftung,457045a,2016,H2,Industriezentrum NÖ-Süd Straße 16,2355,Wiener Neudorf,Österreich,+43 2236 677 079,,https://austria.swagelok.com/de,"Industriezentrum NÖ-Süd Straße 16, 2355, Wiener Neudorf, Österreich",48.0752382,16.3289077
ACstyria Mobilitätscluster GmbH,,11 - 20,Gesellschaft mit beschränkter Haftung,,1995,H2,Parkring 1,8074,Raaba-Grambach,Österreich,+43 316 4096 9626,,https://www.acstyria.com,"Parkring 1, 8074, Raaba-Grambach, Österreich",47.019491,15.499755
AGGM Austrian Gas Grid Management AG,,21 - 50,Aktiengesellschaft,212990X,2003,H2,"Floridsdorfer Hauptstr. 1, Peak Vienna",1210,Wien,Österreich,+43 1 275 602 8813,,https://www.aggm.at invoice@aggm.at,"Floridsdorfer Hauptstr. 1, Peak Vienna, 1210, Wien, Österreich",48.252258,16.392674
AIT Austrian Institute of Technology GmbH,Center for Energy,> 250,Gesellschaft mit beschränkter Haftung,115980i,1956,H2,Giefinggasse 4,1210,Wien,Österreich,+43 664 235 1937,,https://www.ait.ac.at,"Giefinggasse 4, 1210, Wien, Österreich",48.269137,16.4266762
AllWin-consult e.U.,,<= 5,Einzelunternehmen,544895t,2019,H2,Stöcklhubstrasse 15,5600,St. Johann in Salzburg,Österreich,+43 676 593 8002,,http://www.AllWin-consult.at,"Stöcklhubstrasse 15, 5600, St. Johann in Salzburg, Österreich",47.343201,13.196798
Andritz AG,,> 250,Aktiengesellschaft,50935f,1852,H2,Eibesbrunnergasse 20,1120,Wien,Österreich,+43 508 055 5159,,https://andritz.com,"Eibesbrunnergasse 20, 1120, Wien, Österreich",48.1695344,16.336172
Atlanto e.U.,,6 - 10,Einzelunternehmen,551277b,2021,H2,Franz-Baumann-Weg 22 / 37,6020,Innsbruck,Österreich,+43 699 8183 7121,,https://www.atlanto.at,"Franz-Baumann-Weg 22 / 37, 6020, Innsbruck, Österreich",47.266051,11.343923
AVL List GmbH,,> 250,Gesellschaft mit beschränkter Haftung,53507m,1979,H2,Hans-List-Platz 1,8020,Graz,Österreich,+43 316 787 1484,,http://www.avl.com,"Hans-List-Platz 1, 8020, Graz, Österreich",47.0777018,15.4251443
BERNARD Gruppe Holding ZT GmbH,,50 - 250,Gesellschaft mit beschränkter Haftung,260331s,1983,H2,Bahnhofstraße 19,6060,Hall in Tirol,Österreich,+43 5223 5840 0,,https://bernard-gruppe.com,"Bahnhofstraße 19, 6060, Hall in Tirol, Österreich",47.2778494,11.502551510873017
