Lat,Lon,Title,Partner,Partner ohne Markdown,Website,Straße,PLZ,Ort,Land,Partner aus…,Beteiligt in…,Funktion als…,Webadresse,Column 1,lat,lon,LAT,LON,Mehrere Partner
49.48929129999999,8.4673098,,[ABB AG](https://www.abb.de/),ABB AG,https://www.abb.de/,Kallstadter Str. 1,68309,Mannheim,Baden-Württemberg,Wirtschaft,FertiRob,Partner,www.abb.de,,49.48929129999999,8.4673098,,,
51.5646195,7.3106175,,[Advanced Training Technologies GmbH](https://https://sk-att.com/),Advanced Training Technologies GmbH,https://sk-att.com/,Am Förderturm 5 c,44575,Castrop-Rauxel,Nordrhein-Westfalen,Wirtschaft,HyPLANT100,Partner,sk-att.com,,51.5646195,7.3106175,,,
48.2592477,11.4354419,,[Alantum Europe GmbH](https://www.alantum.com/),Alantum Europe GmbH,https://www.alantum.com/,Balanstr. 73 / Geb. 21A,81541,München,Bayern,Wirtschaft,AEL4GW,Partner,www.alantum.com,,48.2592477,11.4354419,,,
47.9651461,7.9573306,,[Albert-Ludwigs-Universität Freiburg](https://www.uni-freiburg.de/),Albert-Ludwigs-Universität Freiburg,https://www.uni-freiburg.de/,Georges-Köhler-Allee 103,79110,Freiburg im Breisgau,Baden-Württemberg,Wissenschaft,Fluorfreie MEA,Partner,www.uni-freiburg.de,,47.9651461,7.9573306,,,
48.7630165,11.4250395,,[AUDI Aktiengesellschaft](https://www.audi.de/),AUDI Aktiengesellschaft,https://www.audi.de/,Auto-Union-Str. 1,85057,Ingolstadt,Bayern,Wirtschaft,PEP.IN,Partner,www.audi.de,,48.7630165,11.4250395,,,
48.1371079,11.5753822,,[AUTOMATION W + R GmbH](https://www.automationwr.de/),AUTOMATION W + R GmbH,https://www.automationwr.de/,Messerschmittstr. 7,80992,München,Bayern,Wirtschaft,FertiRob,Partner,www.automationwr.de,,48.1371079,11.5753822,,,
49.1774768,9.4384654,,[Autoproc GmbH & Co. KG](https://www.autoproc.de/),Autoproc GmbH & Co. KG,https://www.autoproc.de/,Ringstr. 43,74626,Bretzfeld,Baden-Württemberg,Wirtschaft,FertiRob,Partner,www.autoproc.de,,49.1774768,9.4384654,,,
53.0758196,8.8071646,,BIAS - Bremer Institut für angewandte Strahltechnik GmbH,BIAS - Bremer Institut für angewandte Strahltechnik GmbH,https://www.bias.de,Klagenfurter Str. 5,28359,Bremen,Bremen,Wissenschaft,INSTALL-AWE,Partner,www.bias.de,,53.0758196,8.8071646,,,
49.8738515,9.1688433,,[Boll Automation GmbH](https://www.bollautomation.de/),Boll Automation GmbH,https://www.bollautomation.de/,Industriestr. 6,63839,Kleinwallstadt,Bayern,Wirtschaft,FertiRob,Partner,www.bollautomation.de,,49.8738515,9.1688433,,,
54.3227085,10.135555,,[Christian-Albrechts-Universität zu Kiel - Institut für Anorganische Chemie](https://www.uni-kiel.de/),Christian-Albrechts-Universität zu Kiel - Institut für Anorganische Chemie,https://www.uni-kiel.de/,Max-Eyth-Str. 2,24118,Kiel,Schleswig-Holstein,Wissenschaft,PrometH2eus,Partner,www.uni-kiel.de,,54.3227085,10.135555,,,
50.9540035,13.3503293,,[DBI - Gastechnologisches Institut gGmbH Freiberg](https://www.dbi-gti.de/),DBI - Gastechnologisches Institut gGmbH Freiberg,https://www.dbi-gti.de/,Halsbrücker Str. 34,9599,Freiberg,Sachsen,Wissenschaft,TP Elektrolyse,Partner,www.dbi-gti.de,,50.9540035,13.3503293,,,
51.3406321,12.3747329,,[DBI Gas- und Umwelttechnik GmbH](https://www.dbi-gruppe.de/),DBI Gas- und Umwelttechnik GmbH,https://www.dbi-gruppe.de/,Karl-Heine-Str. 109/111,4229,Leipzig,Sachsen,Wirtschaft,HTEL-Module,Partner,www.dbi-gruppe.de,,51.3406321,12.3747329,,,
50.14279620000001,9.0464884,,De Nora Deutschland GmbH,De Nora Deutschland GmbH,https://www.denora.com,Industriestr. 17,63517,Rodenbach,Hessen,Wirtschaft,"INSTALL-AWE, PrometH2eus",Partner,www.denora.com,,50.14279620000001,9.0464884,,,
50.011974,8.7123912,,[DECHEMA Gesellschaft für Chemische Technik und Biotechnologie e.V. und DECHEMA Forschungsinstitut](https://www.dechema.de/),DECHEMA Gesellschaft für Chemische Technik und Biotechnologie e.V. und DECHEMA Forschungsinstitut,https://www.dechema.de/,Theodor-Heuss-Allee 25,60486,Frankfurt am Main,Hessen,Wissenschaft,"TP Elektrolyse, Degrad-EL3, FluCoM, HTEL-Module, ReNaRe",Koordinator und Partner,www.dechema.de,,50.011974,8.7123912,,,
