Name,City,Country,Latitude,Longitude
H2 Green Steel (H2GS)  (Phase 1),Boden,Sweden,65.8676982792458,21.7256723331842
Holland Hydrogen (Phase 1),Maasvlakte,Netherlands,51.9607763489192,3.99333939006985
Normand'hy,Port-Jerome,France,49.505435,0.5676
FlagshipOne                      ,Örnsköldsvik,Sweden,63.2757271,18.7149624
Sunrhyse (Phase 1),Signes,France,43.2614844338144,5.79431975161955
Linde at Leuna Chemical Complex,Leuna,Germany,51.3285704018991,12.005070348091
SKREI,Porsgrunn,Norway,59.1385567,9.6555147
P2X Harjavalta (Phase 1),Harjavalta,Finland,61.3192882402275,22.1218736501968
H2F (Phase 1),Puertollano,Spain,38.6697414650677,-4.06097260030287
HySynergy (Phase 1),Fredericia,Denmark,55.565268,9.7562169
Trailblazer (Phase 1),Oberhausen,Germany,51.5271084102522,6.7989294674231
H2 for Ovako steel mill,Hofors,Sweden,60.5453703828914,16.2997359311776
Centrale Électrique de l’Ouest Guyanais (CEOG),French Guiana,France,5.6687327,-53.7784043
GetH2 RWE Lingen (Phase 0) (ALK),Lingen,Germany,52.4820003519423,7.30069432583593
REFHYNE (Phase 1),Wesseling,Germany,50.8605615564851,6.98058161550651
Copenhagen Hydrogen Partnership/Green Fuels for Denmark (Phase 1),Copenhagen,Denmark,55.605839100839,12.4883102125384
Reddap (REnewable Distributed & Dynamic Ammonia Plant),Lemwig,Denmark,56.4757442315603,9.15229585895749
Ineratec PtL Frankfurt ,Frankfurt,Germany,50.095117,8.5337827
HyBit,Bremen,Germany,53.1293098,8.6661833
Woikoski Kokkola electrolyzer,Kokkola,Finland,63.8463405383208,23.0330068194374
Energy Park Wunsiedel,Wunsiedel,Germany,50.0373241,12.0027278
Pamesa e-Combustible,Castellon           ,Spain,39.9649733,-0.2587633
Decentralized energy supply for Lubesse,Lubesse,Germany,53.4872448,11.4626899
Djeva PtH,Monthey,Switzerland,46.2520181964156,6.96077630357466
Audi e-gas,Werlte,Germany,52.8518701,7.6764179
H2FUTURE (Phase 1),Linz,Austria,48.3059078,14.286198
Energiepark Mainz,Mainz,Germany,49.9999952,8.2710237
George Olah CO2 to methanol plant,Grindavik,Iceland,63.844239,-22.4317498
Greenlab Skive,Skive,Denmark,56.6429141231334,8.97254421320239
H&R Ölwerke Schindler Hamburg-Neuhof,Hamburg-Neuhof,Germany,53.5142697661571,9.95004694091784
Luckau ELY,Luckau,Germany,51.9043854725086,13.7511900771751
Heroya Industrial Park ,Porsgrunn,Norway,59.1212223,9.6305157
ZE PAK Konin,Konin,Poland,52.3028340969079,18.2273712128575
Hy2B Hydrogen Pfeffenhausen,Pfeffenhausen,Germany,48.6647503,11.9836218
Hellesylt Hydrogen Hub,Hellesylt,Norway,62.082088,6.873058
HYBRIT pilot (Phase 1),Lulea,Sweden,65.5831352,22.1460134
GetH2 RWE Lingen (Phase 0) (PEM),Lingen,Germany,52.4842956243907,7.30511188906331
Sandviken ely,Sandviken,Sweden,60.6119917143679,16.7541014345866
MPREIS Hydrogen  (within DEMO4GRID),Völs,Austria,47.2537082,11.323817
Birmingham Tyseley Energy Park HRS,Birmingham,United Kingdom,52.4613575909314,-1.84096426182476
Strandmollen Ljungby,Ljungby   ,Sweden,56.8304642,13.9000466
Basque Hydrogen Corridor/BH2C - Muskiz refinery (Phase 1),Muskiz,Spain,43.3280772600642,-3.10814476450165
Energiepark Pirmasens-Winzeln,Pirmasens,Germany,49.1996961,7.6087847
H2W,Wuppertal,Germany,51.264018,7.1780374
WindH2 Windwasserstoff Salzgitter,Salzgitter,Germany,52.1523434613963,10.4066598815022
H2GO Energy Park Oude-Tonge (Phase 1)/Greenpoint HRS,Oude-Tonge,Netherlands,51.7033128995464,4.16253562875509
Terranova hydrogen project (Phase 1),Zelzate,Belgium,51.188809,3.788165
MultiPLHY,Rotterdam,Netherlands,51.92779805,4.48862326925829
HAEOLUS,Berlevag,Norway,70.79904505,29.1505286465325
Green Hysland/Power to Green Hydrogen Mallorca (Phase 1),Lloseta,Spain,39.7034672570424,2.86678438318085
Zona Franca de Barcelona (HRS) (Phase 1),Barcelona,Spain,41.284820822116,1.94665964125671
PtG Switzerland Dietikon,Dietikon,Switzerland,47.4068827,8.4020894
Wind to Gas Südermarsch,Brunsbüttel,Germany,53.8939674684032,9.17372152088397
HZI PtH Buchs,Buchs,Switzerland,47.1739693425705,9.4816022236665
H2RES,Avedore,Denmark,55.6255437,12.4550501
Carbon2Chem,Duisburg,Germany,51.4914175773825,6.72396950620628
Green H2 hub Haren,Twist,Germany,52.6474242,7.0947959
Rostock - Laage Industrial park (Phase 1),Laage,Germany,53.9034052944025,12.2831689290693
WindGas Falkenhagen,Falkenhagen,Germany,53.2003105413885,12.2351124180165
Aquamarine,Kardoskut,Hungary,46.4966066,20.7015134
HySolar HRS,Nieuwegein,Netherlands,52.0298704,5.09293340872922
Hydrospider Gösgen,Niedergösgen,Switzerland,47.368553,7.979575
Wasserstoffproduktion Ostschweiz AG,St. Gallen,Switzerland,47.4005800104364,9.32816180963526
HyBALANCE,Hobro,Denmark,56.6262199423679,9.82570361342709
Bolzano HRS (CHIC),Bolzano,Italy,46.4740985384316,11.3171937080776
VHyGO (Brest),Brest,France,48.3862492025711,-4.44797756285261
VHyGO (Saint-Nazaire),Saint-Nazaire,France,47.3025443637342,-2.15345756929321
H2 Wyhlen (Power-to-Gas Baden-Württemberg) (Phase 1),Wyhlen,Germany,47.5381816277997,7.70626339365355
Hydrogenpilot Oosterwolde (SinneWetterstof Hydrogen Pilot Project),Oosterwolde,Netherlands,53.0019687,6.29213356390565
Fairfuel Atmosfair – PtL in Werlte,Werlte,Germany,52.8528701,7.6764179
MegalyseurPlus (HYPOS),Leuna,Germany,51.2973442363618,11.9973813222433
Windgas Haßfurt (Haßfurt),Haßfurt,Germany,50.0318698,10.5065562
INGRID (Phase 1),Troia,Italy,41.363128,15.312347
Renewable Gasfield,Gabersdorf,Austria,46.7813377,15.5881617
HRS Compagnie Maritime Belge,Antwerp,Belgium,51.2430063017793,4.39739266986595
BÜKKABRÁNY PtG,Bükkábrányi,Hungary,47.8934703494515,20.7024755026607
Dijon Metropole Smart Energy Nord,Dijon,France,47.3215806,5.0414701
AuxHyGen/Auxr H2,Auxerre,France,47.8031609515491,3.58821986608128
Hycaunais,Saint-Florentin,France,47.9929935579677,3.71096606770049
SEM-REV offshore hydrogen at Le Croisic,Le Croisic,France,47.2641973154324,-2.65015716009921
E-CO2MET Raffinerie Mitteldeutschland,Leuna,Germany,51.2828163158879,11.9870321142491
Green Hydrogen Esslingen (P2G2P),Esslingen,Germany,48.7427584,9.3071685
Windgas Haurup,Haurup,Germany,54.7267886,9.3478232
Hygo Vannes,Vannes,France,47.6587668607699,-2.71519675675349
Linde Mandra,Mandra,Greece,38.0668785013231,23.5162462877533
Hystock,Veendam,Netherlands,53.1028443,6.8694863
Smart Quart (Kaisersesch),Kaisersesch,Germany,50.2307994,7.1404855
Aberdeen Kittybrewster HRS,Aberdeen,United Kingdom,57.1605931776635,-2.11435923358071
BIG HIT,"Balfour, Shapinsay",United Kingdom,59.0347198065152,-2.88815455849537
Mira Technology Park ELY,Nuneaton,United Kingdom,52.5542441095882,-1.4644231722994
Arbikie Distrillery,Montrose,United Kingdom,56.6649947228489,-2.52812163682435
Dorset Green H2,Poole,United Kingdom,50.7705127264785,-1.95198820315738
H2 Creteil,Creteil,France,48.7788789906249,2.43687449998177
H2orizon,Lampoldshausen,Germany,49.2644733,9.401743
Lhyfe Bouin (Phase 1),Bouin,France,46.9744444,-2.0005556
GrInHy2.0,Salzgitter,Germany,52.1503721,10.3593147
SAN Group Herzogenburg,Herzogenburg,Austria,48.262398157192,15.6886018760215
Tecoil,Hamina,Finland,60.5267411092739,27.141011962863
Hyport - Toulouse airport,Toulouse,France,43.6366065081633,1.3711896083922
Hellisheidi ON Power ely,Hellisheidi,Iceland,64.0364234782397,-21.4043909789244
ASKO Midt-Norge HRS,Trondheim,Norway,63.3432724721887,10.3733299991462
Oskarshamn electrolyser,Oskarshamn,Sweden,57.4171067562032,16.6726343711793
Surf'n'Turf,Eday,United Kingdom,59.1649150969301,-2.78835603880386
Hamburg Hafen City HRS,Hamburg,Germany,53.5459162654515,10.0025167626962
Underground Sun Storage 2030,Pilsbach,Austria,48.0405177,13.6765409494395
Strandmøllen A/S - Ejby,Ejby,Denmark,55.4485223877548,9.95609540615928
Jupiter 1000 (ALK),Fos sur Mer,France,43.4369698295325,4.94778991120009
Jupiter 1000 (PEM),Fos sur Mer,France,43.4380714,4.945595
Syndicat mixte des transports Artois-Gohelle (SMT AG),Bethune,France,49.8808904,1.1415922
H2BER (Berlin airport),Berlin,Germany,52.3699921358899,13.5242988316558
"Hybrid Power Plant Enertrag, Prenzlau",Dauerthal,Germany,53.3649417,13.9684468
VHyGO (Dieppe),Dieppe,France,49.9046039566824,1.10588918280261
HyDeploy,Keele,United Kingdom,53.0038078,-2.2877425
Underground Sun Storage 2030,Austria,Pilsbach,48.0405177,13.6765409494395
SAN Group Herzogenburg,Austria,Herzogenburg,48.262398157192,15.6886018760215
H2FUTURE (Phase 1),Austria,Linz,48.3059078,14.286198
Unknown,Austria,Weissenstein,46.68239,13.72339
Unknown,Austria,Brückl,146.7480784,14.5309443
Unknown,Austria,Schwechat,48.1409268,16.4763778
Unknown,Austria,Schwechat,48.1419268,16.4763778
Unknown,Austria,Linz,48.30994,14.28583
Unknown,Austria,Linz,48.31094,14.28583
HRS Compagnie Maritime Belge,Belgium,Antwerp,51.2430063017793,4.39739266986595
Unknown,Belgium,Jemeppe sur Sambre,50.4660855,4.6687027
Unknown,Belgium,Saint-Ghislain,50.4705544,3.8169701
Unknown,Belgium,Tessenderlo,51.0657584,5.0883599
Unknown,Belgium,Antwerp,51.2213404,4.4051485
Unknown,Belgium,Antwerp,51.2353404,4.4051485
Unknown,Belgium,Antwerp,51.2263404,4.4051485
Unknown,Belgium,Antwerp,51.2283404,4.4051485
Unknown,Belgium,Antwerp,51.2293404,4.4051485
Unknown,Belgium,Antwerp,51.2333404,4.4051485
Unknown,Belgium,Antwerp,51.2343404,4.4051485
Unknown,Bulgaria,Dimitrovgrad,42.0545053,25.5945249
Unknown,Bulgaria,Burgas,42.5047926,27.4626361
Unknown,Bulgaria,Burgas,42.5057926,27.4626361
Unknown,Croatia,Rijeka,45.3270631,14.442176
Unknown,Croatia,Kutina,45.4792811,16.7763267
Unknown,Czechia,Ostrava,49.8219226,18.2625243
Unknown,Czechia,Kralupy nad Vltavou,50.2416453,14.3106451
Unknown,Czechia,Kralupy nad Vltavou,50.2426453,14.3106451
Unknown,Czechia,Litvínov,50.5984262,13.6102421
Unknown,Czechia,Litvínov,50.6004262,13.6102421
Unknown,Czechia,Usti nad Labem,50.6621164,14.0531456
Strandmøllen A/S - Ejby,Denmark,Ejby,55.4485223877548,9.95609540615928
HyBALANCE,Denmark,Hobro,56.6262199423679,9.82570361342709
H2RES,Denmark,Avedore,55.6255437,12.4550501
Unknown,Denmark,Fredericia,55.5689298,9.749517
Unknown,Denmark,Kalundborg,55.686429,11.089188
Unknown,Denmark,Frederikssund,55.835592,12.062436
Tecoil,Finland,Hamina,60.5267411092739,27.141011962863
Woikoski Kokkola electrolyzer,Finland,Kokkola,63.8463405383208,23.0330068194374
Unknown,Finland,Porvoo,60.3931919,25.6652739
Unknown,Finland,Porvoo,60.3951919,25.6652739
Unknown,Finland,Porvoo,60.3961919,25.6652739
Unknown,Finland,Kuusankoski ,60.9069253,26.6243555
Unknown,Finland,Voikkaa,60.9412608,26.6195357
Unknown,Finland,Lappeenranta,61.0549929,28.1896627
Unknown,Finland,Joutseno,61.1182338,28.5081602
Unknown,Finland,Joutseno,61.1192338,28.5081602
Unknown,Finland,Harjavalta,61.3137102,22.1413063
Unknown,Finland,Hameenlinna,60.97174,24.538087
Unknown,Finland,Sotkamo,64.1306547,28.3904978
Unknown,Finland,Oulu,65.0120888,25.4650772
Unknown,Finland,Oulu,65.0130888,25.4650772
Jupiter 1000 (ALK),France,Fos sur Mer,43.4369698295325,4.94778991120009
Jupiter 1000 (PEM),France,Fos sur Mer,43.4380714,4.945595
Syndicat mixte des transports Artois-Gohelle (SMT AG),France,Bethune,49.8808904,1.1415922
Hyport - Toulouse airport,France,Toulouse,43.6366065081633,1.3711896083922
Lhyfe Bouin (Phase 1),France,Bouin,46.9744444,-2.0005556
AuxHyGen/Auxr H2,France,Auxerre,47.8031609515491,3.58821986608128
Hycaunais,France,Saint-Florentin,47.9929935579677,3.71096606770049
SEM-REV offshore hydrogen at Le Croisic,France,Le Croisic,47.2641973154324,-2.65015716009921
Lavéra Kem One,France,Lavéra,43.388073,5.030569
Lavéra Naphtachimie SA,France,Lavéra,43.389073,5.030569
Lavéra Petrolneos Refining Ltd.,France,Lavéra,43.390073,5.030569
Lavéra Air Liquide,France,Lavéra,43.392073,5.030569
La Mede Total,France,La Mede,43.399232,5.111521
Lacq Air Liquide,France,Lacq,43.413249,-0.61914
Fos sur Mer Kem One,France,Fos sur Mer,43.436882,4.945711
Fos AGA Gas,France,Fos,43.437882,4.945711
Fos sur Mer ExxonMobil,France,Fos sur Mer,43.439882,4.945711
Berre l’Etang LyondellBasell,France,Berre l’Etang,43.4757729,5.167309
Saint Auban Arkema (Kem One),France,Saint Auban,43.848478,6.726625
Roussilon Air Liquide,France,Gordes,43.911315,5.200176
Ambès Nouryon,France,Ambès,45.012825,-0.530755
Jarrie Arkema (Kem One),France,Jarrie,45.1124266,5.7547492
Jarrie Arkema,France,Jarrie,45.1134266,5.7547492
Jarrie Arkema,France,Jarrie,45.1144266,5.7547492
Le Pont de Claix Vencorex,France,Le Pont de Claix,45.123218,5.69782
Le Pont de Claix Air Liquide,France,Le Pont de Claix,45.124218,5.69782
Le Pont de Claix Air Liquide,France,Le Pont de Claix,45.125218,5.69782
Pombliere MSSA,France,Pombliere,45.498975,6.559298
Feyzin Total,France,Feyzin,45.6730259,4.8602463
Feyzin Total,France,Feyzin,45.6740259,4.8602463
Saint Fons Air Liquide,France,Saint Fons,45.708874,4.853374
Fos Tonkin Air Liquide,France,Fos Tonkin,43.457513,4.853221
Tavaux Solvay,France,Tavaux,47.036533,5.407559
Donges Total,France,Donges,47.318789,-2.074694
Ottmarshein BOREALIS-PRODUITS ET ENGRAIS CHIMIQUES DU RHIN,France,Ottmarsheim,47.78719,7.506512
Thann Vynova PPC,France,Thann,47.810702,7.102382
Chalampe Linde,France,Chalampe,47.8197789,7.539769
Grandpuits-Bailly-Carrois Borealis,France,Grandpuits-Bailly-Carrois,48.5854426,2.9781166
Grand-Quevilly Borealis,France,Grand-Quevilly,49.411811,1.041384
Port Jérôme Air Liquide,France,Port Jérôme,49.4890146,0.5676293
Notre Dame de Gravenchon ExxonMobil Chemical,France,Notre Dame de Gravenchon,49.489108,0.567624
Port Jérôme ExxonMobil,France,Port Jérôme,49.4900146,0.5676293
Port Jérôme Air Liquide,France,Port Jérôme,49.4920146,0.5676293
Le Havre YARA,France,Le Havre,49.49437,0.107929
Gonfreville L'Orcher Total,France,Gonfreville L'Orcher,49.502579,0.233079
Gonfreville L'Orcher Total,France,Gonfreville L'Orcher,49.503579,0.233079
Gonfreville L'Orcher Total/Air Liquide,France,Gonfreville L'Orcher,49.504579,0.233079
Waziers Air Liquide,France,Waziers,50.3871286,3.1093554
Loos Kuhimann France,France,Loos,50.615139,3.017729
Dunkerque Versalis (Eni Group),France,Dunkerque,51.0333684,2.3767763
H2BER (Berlin airport),Germany,Berlin,52.3699921358899,13.5242988316558
"Hybrid Power Plant Enertrag, Prenzlau",Germany,Dauerthal,53.3649417,13.9684468
Hamburg Hafen City HRS,Germany,Hamburg,53.5459162654515,10.0025167626962
GrInHy2.0,Germany,Salzgitter,52.1503721,10.3593147
H2orizon,Germany,Lampoldshausen,49.2644733,9.401743
Green Hydrogen Esslingen (P2G2P),Germany,Esslingen,48.7427584,9.3071685
Windgas Haurup,Germany,Haurup,54.7267886,9.3478232
Fairfuel Atmosfair – PtL in Werlte,Germany,Werlte,52.8528701,7.6764179
MegalyseurPlus (HYPOS),Germany,Leuna,51.2973442363618,11.9973813222433
Windgas Haßfurt (Haßfurt),Germany,Haßfurt,50.0318698,10.5065562
H2 Wyhlen (Power-to-Gas Baden-Württemberg) (Phase 1),Germany,Wyhlen,47.5381816277997,7.70626339365355
Carbon2Chem,Germany,Duisburg,51.4914175773825,6.72396950620628
Green H2 hub Haren,Germany,Twist,52.6474242,7.0947959
Rostock - Laage Industrial park (Phase 1),Germany,Laage,53.9034052944025,12.2831689290693
WindGas Falkenhagen,Germany,Falkenhagen,53.2003105413885,12.2351124180165
Wind to Gas Südermarsch,Germany,Brunsbüttel,53.8939674684032,9.17372152088397
Energiepark Pirmasens-Winzeln,Germany,Pirmasens,49.1996961,7.6087847
