Unnamed: 0,Name,Category,Street,ZIP,Phone Number,Email,Website,Full Address,Latitude,Longitude
0,Rzeszow University of Technology,Education,al. Powsta?ców Warszawy 12,35-959 Rzeszów,tel. 17 865 11 00,kancelaria@prz.edu.pl,https://w.prz.edu.pl/,"al. Powsta?ców Warszawy 12, 35-959 Rzeszów",50.019363,21.98884
1,University of Warsaw,Education,Krakowskie Przedmie?cie 26/28,00-927 Warszawa,tel. +48 22 55 20 000,-,https://irk.uw.edu.pl/en-gb/,"Krakowskie Przedmie?cie 26/28, 00-927 Warszawa",52.240883,21.017806
2,Gda?sk University of Technology,Education,Narutowicza 11/12,80-233 Gda?sk,tel. +48 692-422-454,ctw@pg.edu.pl,https://www.centrumwodorowe.pl/,"Narutowicza 11/12, 80-233 Gda?sk",48.18856565,17.18911517577356
3,Silesian University of Technology,Education,Akademicka 2a,44-100 Gliwice,tel. 32 237 10 00,-,-,"Akademicka 2a, 44-100 Gliwice",50.2895655,18.677579
4,AGH University of Krakow,Education,al. Mickiewicza 30,30-059 Kraków,tel. 12 617 22 22,-,https://www.agh.edu.pl/,"al. Mickiewicza 30, 30-059 Kraków",50.064485,19.923628
5,Cracow University of Technology,Education,Warszawska 24,31-155 Kraków,tel. 12 628 22 05,kancelaria@pk.edu.pl,https://www.pk.edu.pl/,"Warszawska 24, 31-155 Kraków",50.0712118,19.9431226
6,Uniqate Sp. z o. o.,Education,Pogodna 3,05-083 Wiktorów,tel. 661 904 433,contact@uniqate.pl,https://uniqate.pl/,"Pogodna 3, 05-083 Wiktorów",52.262183,20.692474
7,Warsaw University of Technology,Education,Plac Politechniki 1,00-661 Warszawa,tel. 22 234 7211,-,https://www.pw.edu.pl/,"Plac Politechniki 1, 00-661 Warszawa",52.222213,21.0066552
8,Akademia WSB,Education,Cieplaka 1c,41-300 D?browa Górnicza,tel. 32 295 93 00,info@wsb.edu.pl,https://wsb.edu.pl/,"Cieplaka 1c, 41-300 D?browa Górnicza",50.326453,19.191737
9,H2 Wielkopolska,Education,Al. Niepodleg?o?ci 34,61-714 Pozna?,tel. 61 626 6248,-,https://h2wielkopolska.pl/,"Al. Niepodleg?o?ci 34, 61-714 Pozna?",48.337925,15.921685
