Unnamed: 0,Name des Unternehmens,"Anzahl der Mitarbeiter 
Letztes verf. Jahr",Adresse,Postleitzahl,Ort,Region,Land,Länderkürzel,Full Address,Latitude,Longitude,Country
1.0,SHELL TRADING ROTTERDAM B.V.,n.v.,WEENA 505,3013 AL,ROTTERDAM,Rotterdam,Niederlande,NL,"WEENA 505, 3013 AL, Rotterdam, Niederlande",51.9237047,4.471875,Netherlands
2.0,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,67778,75 QUAI D ORSAY,75007,PARIS,Paris,Frankreich,FR,"75 QUAI D ORSAY, 75007, Paris, Frankreich",48.8622331,2.3047133,France
3.0,ESSO NEDERLAND B.V.,826,BOTLEKWEG 121 HAVENNUMMER,3197 KA,BOTLEK ROTTERDAM,Rotterdam,Niederlande,NL,"BOTLEKWEG 121 HAVENNUMMER, 3197 KA, Rotterdam, Niederlande",51.870317,4.300543,Netherlands
4.0,SEEHG SECURING ENERGY FOR EUROPE HOLDING GMBH,1362,MARKGRAFENSTR. 23,10117,BERLIN,Berlin,Deutschland,DE,"MARKGRAFENSTR. 23, 10117, Berlin, Deutschland",52.5083233,13.3943543,Germany
5.0,NORSK HYDRO ASA,404,DRAMMENSVEIEN 264,0283,OSLO,Oslo,Norwegen,NO,"DRAMMENSVEIEN 264, 0283, Oslo, Norwegen",59.913821,10.650463,Norway
6.0,SHELL DEUTSCHLAND GMBH,2689,SUHRENKAMP 71-77,22335,HAMBURG,"Hamburg, Freie und Hansestadt",Deutschland,DE,"SUHRENKAMP 71-77, 22335, Hamburg, Freie und Hansestadt, Deutschland",53.6212995,10.0152091,Germany
7.0,SOLVAY,22047,RANSBEEKSTRAAT 310,1120,BRUSSEL,Brussels-Capital Region,Belgien,BE,"RANSBEEKSTRAAT 310, 1120, Brussels-Capital Region, Belgien",50.901131,4.400383,Belgium
8.0,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA, D.D., LJUBLJANA",1962,DUNAJSKA CESTA 50,1000,LJUBLJANA,Osrednjeslovenska,Slovenien,SI,"DUNAJSKA CESTA 50, 1000, Osrednjeslovenska, Slovenien",46.0647094,14.5092881,Slovenia
9.0,JET TANKSTELLEN DEUTSCHLAND GMBH,257,CAFFAMACHERREIHE 1,20355,HAMBURG,"Hamburg, Freie und Hansestadt",Deutschland,DE,"CAFFAMACHERREIHE 1, 20355, Hamburg, Freie und Hansestadt, Deutschland",53.5543815,9.9844534,Germany
10.0,SHELL FRANCE,n.v.,"11 13 TOUR PACIFIC, 11 COURS VALMY",92800,PUTEAUX,Hauts-de-Seine,Frankreich,FR,"11 13 TOUR PACIFIC, 11 COURS VALMY, 92800, Hauts-de-Seine, Frankreich",48.892065,2.232525,France
11.0,CHIMET - S.P.A.-,149,VIA DEI LAGHI 31/33,52041,CIVITELLA IN VAL DI CHIANA,Arezzo,Italien,IT,"VIA DEI LAGHI 31/33, 52041, Arezzo, Italien",43.408606,11.777862,Italy
12.0,AS 24,n.v.,"PARC TERTIAIRE AR MOR, 1 BOULEVARD DU ZENITH",44800,ST HERBLAIN,Loire-Atlantique,Frankreich,FR,"PARC TERTIAIRE AR MOR, 1 BOULEVARD DU ZENITH, 44800, Loire-Atlantique, Frankreich",47.231396,-1.628699,France
13.0,DOW DEUTSCHLAND ANLAGENGESELLSCHAFT MBH,10,BÜTZFLETHER SAND,21683,STADE,Stade,Deutschland,DE,"BÜTZFLETHER SAND, 21683, Stade, Deutschland",53.6465124,9.4482207,Germany
