Name,City,Country,Start year,Production capacity (MW/MWel),Production process,End-use,Consumption capacity (tonnes/year),Project stage,Latitude,Longitude,Source
H2 Green Steel (H2GS)  (Phase 1),Boden,Sweden,2025,430.0,Water electrolysis,Steel,71071.6981132075,Construction,65.8676982792458,21.7256723331842,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
Holland Hydrogen (Phase 1),Maasvlakte,Netherlands,2025,200.0,Water electrolysis,Refining,33056.6037735849,Construction,51.9607763489192,3.99333939006985,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
Normand'hy,Port-Jerome,France,2025,200.0,Water electrolysis,Refining,33056.6037735849,Construction,49.505435,0.5676,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
FlagshipOne                      ,Örnsköldsvik,Sweden,2024,70.0,Water electrolysis,Methanol,11569.81132075472,Construction,63.2757271,18.7149624,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
Sunrhyse (Phase 1),Signes,France,2024,30.0,Water electrolysis,Mobility,4958.490566037735,Construction,43.2614844338144,5.79431975161955,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
Linde at Leuna Chemical Complex,Leuna,Germany,2023,24.0,Water electrolysis,Other chemicals,3966.792452830188,Construction,51.3285704018991,12.005070348091,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
SKREI,Porsgrunn,Norway,2023,24.0,Water electrolysis,Ammonia,3966.79245283019,Construction,59.1385567,9.6555147,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
P2X Harjavalta (Phase 1),Harjavalta,Finland,2024,20.0,Water electrolysis,E-fuels,3305.66037735849,Construction,61.3192882402275,22.1218736501968,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
H2F (Phase 1),Puertollano,Spain,2022,20.0,Water electrolysis,Ammonia,3305.66037735849,Operation,38.6697414650677,-4.06097260030287,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
HySynergy (Phase 1),Fredericia,Denmark,2023,20.0,Water electrolysis,Refining,3305.66037735849,Construction,55.565268,9.7562169,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
Trailblazer (Phase 1),Oberhausen,Germany,2023,20.0,Water electrolysis,Steel,3305.66037735849,Construction,51.5271084102522,6.7989294674231,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
H2 for Ovako steel mill,Hofors,Sweden,2023,17.0,Water electrolysis,Industrial heat,2809.811320754717,Construction,60.5453703828914,16.2997359311776,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
Centrale Électrique de l’Ouest Guyanais (CEOG),French Guiana,France,2024,16.0,Water electrolysis,Power generation,2644.528301886792,Construction,5.6687327,-53.7784043,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
GetH2 RWE Lingen (Phase 0) (ALK),Lingen,Germany,2023,10.0,Water electrolysis,Refining,1652.830188679245,Construction,52.4820003519423,7.30069432583593,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
REFHYNE (Phase 1),Wesseling,Germany,2021,10.0,Water electrolysis,Refining,1652.830188679245,Operation,50.8605615564851,6.98058161550651,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
Copenhagen Hydrogen Partnership/Green Fuels for Denmark (Phase 1),Copenhagen,Denmark,2023,10.0,Water electrolysis,Mobility,1652.830188679245,Construction,55.605839100839,12.4883102125384,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
Reddap (REnewable Distributed & Dynamic Ammonia Plant),Lemwig,Denmark,2023,10.0,Water electrolysis,Ammonia,1652.830188679245,Construction,56.4757442315603,9.15229585895749,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
Ineratec PtL Frankfurt ,Frankfurt,Germany,2023,10.0,Water electrolysis,E-fuels,1652.830188679245,Construction,50.095117,8.5337827,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
HyBit,Bremen,Germany,2024,10.0,Water electrolysis,Steel,1652.830188679245,Construction,53.1293098,8.6661833,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
Woikoski Kokkola electrolyzer,Kokkola,Finland,2014,9.0,Water electrolysis,,1487.547169811321,Operation,63.8463405383208,23.0330068194374,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
Energy Park Wunsiedel,Wunsiedel,Germany,2022,8.75,Water electrolysis,,1446.226415094339,Operation,50.0373241,12.0027278,Hydrogen Production and Consumption Projects | European Hydrogen Observatory (europa.eu)
