Name,Representative,Address
Air Liquide,Cécilia FOUVRY-RENZI,"75 quai d'Orsay
75007 PARIS"
Caisse des Dépôts,Margot LE GUEN,"72, avenue Pierre Mendès France
75914 PARIS CEDEX 13"
Compagnie Nationale du Rhône,Frédéric STORCK,"2 rue André Bonin
69004 LYON"
Neopolia,Benoit LEBRET,35 avenue du Général de Gaulle 44602 Saint-Nazaire
Communauté d'Agglomération du Douaisis,Chékib BEN SMIDA,"746 rue Jean-Perrin
59351 Douai"
HY2GEN,Cyril Dufau-Sansot,"31 Parc du Golf
13593 Aix-en-Provence Cedex 3"
NOVA SWISS,Jacques Thimon,"31, rue Denis Papin
77240 CESSON"
HAFFNER Energy,Philippe et Marc HAFFNER,"2 Place de la Gare
51300 VITRY LE FRANCOIS"
Symbio,Philippe Rosier,"5, rue Simone Veil Parvis Central Ikea 69200 VENISSIEUX FRA"
SEED-Energy,Benjamin Guinot,17 Rue de la Frise 38000 Grenoble - France
McPhy,Jean-Baptiste Lucas,"1115 route de Saint Thomas
26190 LA MOTTE-FANJAS"
ATAWEY,Jean-Michel AMARE,"BP 20335 - 17 avenue du Lac Léman
73377 LE BOURGET DU LAC"
Durance Luberon Verdon Agglomération,Dominique Bertin,"Place de l'Hotel de Ville
04100 Manosque"
Pragma Industries,Pierre FORTE,"ZA de la Négresse, 40 rue Chapelet
64200 BIARRITZ"
GRTgaz,Anthony Mazzenga,"Immeuble Bora, 6 rue Raoul Nordling 92270 BOIS-COLOMBES"
VOL-V SAS,Cédric De Saint-Jouan,"1350 avenue Albert Einstein, PAT Bât. 2
34000 Montpellier"
H24 PROJECT,Olivier LE GAC,"Parc d'activités de Signes, Avenue de Rome, BP 729
83870 SIGNES"
Hinicio,"Jean-Christophe Lanoix, Directeur Associé France","64-66 Rue des Archives
75003 Paris"
Hydrogène de France (HDF),Damien HAVARD,"20 rue Jean Jaurès
33310 LORMONT"
POWIDIAN,Jean-Emmanuel Boucher,"20 rue Marie de Lorraine
37700 La Ville-aux-Dames"
SEIYA Consulting,Bertrand CHAUVET,1967 Chemin de la Vigne Ecole 82000 MONTAUBAN
MOBILIANS,Xavier HORENT,"50 rue Rouget de Lisle
92158 SURESNES CEDEX"
Conseil Départemental de la Manche,Valérie NOUVEL,50050 SAINT-LO CEDEX
Communauté d'Agglomération du Grand Dole,Claire BOURGEOIS-REPUBLIQUE,"Place de l'Europe
39100 DOLE"
